"","2018-06-28_to_2021-06-29_VGPortfolio_20QRank","2018-07-30_to_2021-07-29_VGPortfolio_20QRank","2018-08-28_to_2021-08-29_VGPortfolio_20QRank","2018-09-28_to_2021-09-29_VGPortfolio_20QRank","2018-10-29_to_2021-10-29_VGPortfolio_20QRank","2018-11-28_to_2021-11-29_VGPortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","20.388","20.673","19.726","17.769","28.524","27.09"
"B Annualized Returns","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","3.949","4.28","3.84","3.426","8.183","7.858"
"P Volatility","22.45","22.56","23.11","22.99","22.62","23.55"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","3.67","3.82","4.39","4.25","4.18","4.84"
"P Tracking Error","5.83","6.3","7.05","7","6.95","7.26"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","0.68","0.68","0.54","0.49","1.18","1.08"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.06","0.16","0.17","0.09","0.23","0.29"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.17","1.17","1.19","1.18","1.18","1.22"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","95.05","93.97","92.86","92.72","92.54","93.25"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-38.2718","-38.1996","-39.2342","-39.1957","-38.904","-38.8164"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-4.3468","-4.2746","-5.3092","-5.27070000000001","-4.97900000000001","-4.8914"
