"","2016-06-27_to_2018-06-28_GrowthPortfolio_4QRank","2016-07-27_to_2018-07-28_GrowthPortfolio_4QRank","2016-08-29_to_2018-08-28_GrowthPortfolio_4QRank","2016-09-27_to_2018-09-28_GrowthPortfolio_4QRank","2016-10-27_to_2018-10-28_GrowthPortfolio_4QRank","2016-11-28_to_2018-11-28_GrowthPortfolio_4QRank","2016-12-27_to_2018-12-28_GrowthPortfolio_4QRank","2017-01-27_to_2019-01-28_GrowthPortfolio_4QRank","2017-02-27_to_2019-02-28_GrowthPortfolio_4QRank","2017-03-27_to_2019-03-28_GrowthPortfolio_4QRank","2017-04-27_to_2019-04-28_GrowthPortfolio_4QRank","2017-05-30_to_2019-05-28_GrowthPortfolio_4QRank","2017-06-27_to_2019-06-28_GrowthPortfolio_4QRank","2017-07-27_to_2019-07-28_GrowthPortfolio_4QRank","2017-08-28_to_2019-08-28_GrowthPortfolio_4QRank","2017-09-27_to_2019-09-28_GrowthPortfolio_4QRank","2017-10-27_to_2019-10-28_GrowthPortfolio_4QRank","2017-11-27_to_2019-11-28_GrowthPortfolio_4QRank","2017-12-27_to_2019-12-28_GrowthPortfolio_4QRank","2018-01-29_to_2020-01-28_GrowthPortfolio_4QRank","2018-02-27_to_2020-02-28_GrowthPortfolio_4QRank","2018-03-27_to_2020-03-28_GrowthPortfolio_4QRank","2018-04-27_to_2020-04-28_GrowthPortfolio_4QRank","2018-05-29_to_2020-05-28_GrowthPortfolio_4QRank","2018-06-27_to_2020-06-28_GrowthPortfolio_4QRank","2018-07-27_to_2020-07-28_GrowthPortfolio_4QRank","2018-08-27_to_2020-08-28_GrowthPortfolio_4QRank","2018-09-27_to_2020-09-28_GrowthPortfolio_4QRank","2018-10-29_to_2020-10-28_GrowthPortfolio_4QRank","2018-11-27_to_2020-11-28_GrowthPortfolio_4QRank","2018-12-27_to_2020-12-28_GrowthPortfolio_4QRank","2019-01-28_to_2021-01-28_GrowthPortfolio_4QRank","2019-02-27_to_2021-02-28_GrowthPortfolio_4QRank","2019-03-27_to_2021-03-28_GrowthPortfolio_4QRank","2019-04-29_to_2021-04-28_GrowthPortfolio_4QRank","2019-05-28_to_2021-05-28_GrowthPortfolio_4QRank","2019-06-27_to_2021-06-28_GrowthPortfolio_4QRank","2019-07-29_to_2021-07-28_GrowthPortfolio_4QRank","2019-08-27_to_2021-08-28_GrowthPortfolio_4QRank","2019-09-27_to_2021-09-28_GrowthPortfolio_4QRank","2019-10-28_to_2021-10-28_GrowthPortfolio_4QRank","2019-11-27_to_2021-11-28_GrowthPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","18.887","19.573","23.456","25.837","18.34","16.705","5.465","9.248","16.007","15.657","18.07","13.071","12.508","15.661","10.198","9.037","10.896","16.802","19.716","13.586","15.673","3.37","8.56","10.087","8.133","13.272","19.621","17.941","27.044","30.416","42.091","33.615","26.626","26.648","32.062","25.683","27.937","27.197","22.642","19.295","33.2","33.04"
"B Annualized Returns","16.5","14.063","15.301","16.127","11.661","11.633","4.663","7.328","8.386","9.638","10.953","7.791","10.254","10.576","8.698","8.692","8.504","10.103","9.899","7.161","3.749","-1.369","3.55","6.13","5.575","6.834","10.018","7.226","11.285","16.444","22.441","19.659","16.826","19.028","19.222","22.448","21.053","20.694","25.327","21.163","22.94","20.703"
"AR DIFF(P-B)","2.387","5.51","8.155","9.71","6.679","5.072","0.802","1.92","7.621","6.019","7.117","5.28","2.254","5.085","1.5","0.345000000000001","2.392","6.699","9.817","6.425","11.924","4.739","5.01","3.957","2.558","6.438","9.603","10.715","15.759","13.972","19.65","13.956","9.8","7.62","12.84","3.235","6.884","6.503","-2.685","-1.868","10.26","12.337"
"P Volatility","8.25","8.12","8.36","8.98","8.37","12.46","12.88","15.26","18.5","18.33","18.18","19.02","20.5","21.25","20.47","21.14","19.99","17.99","18.5","17.17","17.84","18.23","22.56","25.25","26.93","26.05","26.57","26.68","23.08","22.59","21.18","20.92","21","21.44","21.43","18.56","19.53","19.38","17.9","18.2","21.25","22.3"
"B Volatility","7.44","7.22","7.4","7.45","7.08","9.13","9.12","11.66","12.63","12.73","12.75","12.95","14.04","14.73","14.72","14.83","14.81","14.76","14.89","14.53","14.13","15.45","18.12","20.27","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","0.81","0.899999999999999","0.959999999999999","1.53","1.29","3.33","3.76","3.6","5.87","5.6","5.43","6.07","6.46","6.52","5.75","6.31","5.18","3.23","3.61","2.64","3.71","2.78","4.44","4.98","6.45","5.67","5.95","5.57","2.48","1.81","0.690000000000001","0.890000000000001","0.91","1.33","1.3","-0.790000000000003","0.52","0.369999999999997","-0.920000000000002","-0.629999999999999","1.8","2.52"
"P Tracking Error","5.2","4.29","4.31","4.66","4.41","5.68","5.43","5.61","7.6","7.38","7.45","8.3","8.16","8.33","7.18","7.66","6.86","6.66","7.38","5.21","7.54","7.26","8.49","7.9","9.26","9.33","9.47","9.3","8.23","7.78","7.97","8.4","7.64","7.75","7.36","7.33","7.06","7.49","7.24","7.16","6.08","6.06"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","0.46","1.28","1.89","2.08","1.51","0.89","0.15","0.34","1","0.82","0.96","0.64","0.28","0.61","0.21","0.05","0.35","1.01","1.33","1.23","1.58","0.65","0.59","0.5","0.28","0.69","1.01","1.15","1.91","1.8","2.47","1.66","1.28","0.98","1.74","0.44","0.98","0.87","-0.37","-0.26","1.69","2.04"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.27","0.49","0.57","0.66","0.76","0.11","-0.05","-0.1","0.28","0.3","0.27","0.28","-0.06","0.16","0","-0.2","-0.03","0.41","0.63","0.37","0.53","0.59","0.29","0.12","0.19","0.52","0.64","0.64","0.94","0.83","1.2","1.06","0.78","0.7","0.94","0.42","0.41","0.5","0.11","0.12","0.58","0.7"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
