"","1 Y 2017-06-27 to 2020-06-28","1 Y 2017-07-27 to 2020-07-28","1 Y 2017-08-28 to 2020-08-28","1 Y 2017-09-27 to 2020-09-28","1 Y 2017-10-27 to 2020-10-28","1 Y 2017-11-27 to 2020-11-28","1 Y 2017-12-27 to 2020-12-28","1 Y 2018-01-29 to 2021-01-28","1 Y 2018-02-27 to 2021-02-28","1 Y 2018-03-27 to 2021-03-28","1 Y 2018-04-27 to 2021-04-28","1 Y 2018-05-29 to 2021-05-28","1 Y 2018-06-27 to 2021-06-28","1 Y 2018-07-27 to 2021-07-28","1 Y 2018-08-27 to 2021-08-28","1 Y 2018-09-27 to 2021-09-28","1 Y 2018-10-29 to 2021-10-28","1 Y 2018-11-27 to 2021-11-28","2 Y 2017-06-27 to 2020-06-28","2 Y 2017-07-27 to 2020-07-28","2 Y 2017-08-28 to 2020-08-28","2 Y 2017-09-27 to 2020-09-28","2 Y 2017-10-27 to 2020-10-28","2 Y 2017-11-27 to 2020-11-28","2 Y 2017-12-27 to 2020-12-28","2 Y 2018-01-29 to 2021-01-28","2 Y 2018-02-27 to 2021-02-28","2 Y 2018-03-27 to 2021-03-28","2 Y 2018-04-27 to 2021-04-28","2 Y 2018-05-29 to 2021-05-28","2 Y 2018-06-27 to 2021-06-28","2 Y 2018-07-27 to 2021-07-28","2 Y 2018-08-27 to 2021-08-28","2 Y 2018-09-27 to 2021-09-28","2 Y 2018-10-29 to 2021-10-28","2 Y 2018-11-27 to 2021-11-28","3 Y 2017-06-27 to 2020-06-28","3 Y 2017-07-27 to 2020-07-28","3 Y 2017-08-28 to 2020-08-28","3 Y 2017-09-27 to 2020-09-28","3 Y 2017-10-27 to 2020-10-28","3 Y 2017-11-27 to 2020-11-28","3 Y 2017-12-27 to 2020-12-28","3 Y 2018-01-29 to 2021-01-28","3 Y 2018-02-27 to 2021-02-28","3 Y 2018-03-27 to 2021-03-28","3 Y 2018-04-27 to 2021-04-28","3 Y 2018-05-29 to 2021-05-28","3 Y 2018-06-27 to 2021-06-28","3 Y 2018-07-27 to 2021-07-28","3 Y 2018-08-27 to 2021-08-28","3 Y 2018-09-27 to 2021-09-28","3 Y 2018-10-29 to 2021-10-28","3 Y 2018-11-27 to 2021-11-28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.252","18.789","30.969","31.28","26.938","66.066","44.183","43.716","65.317","95.289","71.462","62.72","72.134","64.879","56.044","48.103","63.503","42.93","13.338","15.719","17.728","15.557","26.266","44.958","40.423","35.601","33.923","42.264","31.979","42.934","40.885","41.287","47.304","42.189","53.74","48.348","16.565","18.652","21.586","18.856","17.523","31.228","23.175","20.288","23.435","29.796","26.047","28.542","29.463","30.986","30.217","26.712","43.5","41.7"
"B Annualized Returns","2.876","6.537","19.949","12.63","7.71","15.325","16.006","15.702","27.944","51.119","46.092","38.762","40.658","36.732","29.41","29.867","40.519","26.504","5.575","7.172","9.719","7.236","11.285","15.153","22.551","19.775","16.826","19.028","19.222","22.908","20.738","20.694","24.958","20.954","23.026","20.703","7.541","9.184","12.767","9.982","8.34","11.467","11.792","9.897","11.569","15.01","16.481","16.051","16.431","16.246","15.886","14.297","20.283","19.652"
"AR DIFF(P-B)","10.376","12.252","11.02","18.65","19.228","50.741","28.177","28.014","37.373","44.17","25.37","23.958","31.476","28.147","26.634","18.236","22.984","16.426","7.763","8.547","8.009","8.321","14.981","29.805","17.872","15.826","17.097","23.236","12.757","20.026","20.147","20.593","22.346","21.235","30.714","27.645","9.024","9.468","8.819","8.874","9.183","19.761","11.383","10.391","11.866","14.786","9.566","12.491","13.032","14.74","14.331","12.415","23.217","22.048"
"P Volatility","23.15","24.7","25.21","26.39","28.22","31.33","32.66","34.11","34.56","22.95","17.88","19.78","20.21","20.19","20.54","18.95","22.09","20.33","22.55","23.89","23.85","25.6","24.28","25.95","25.45","26.25","27.6","26.02","23.78","24.57","24.91","25.18","25.23","24.7","25.86","25.09","18.93","19.97","20.02","21.55","22.1","23.23","24.17","25.4","26.29","25.23","23.28","24.74","25.34","25.1","25.47","24.82","23.85","22.97"
"B Volatility","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.84","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.69","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","0.229999999999997","1.75","1.9","2.31","3.44","6.38","5.58","6.98","9.72","4.85","2.92","4.71","4.96","5.24","6.47","6.74","8.68","9.34","2.07","3.51","3.23","4.49","3.68","5.17","4.96","6.22","7.51","5.91","3.65","5.22","5.9","6.17","6.41","5.87","6.41","5.31","1.73","2.78","2.61","3.79","4.11","5.16","5.17","6.53","7.6","6.66","4.63","5.96","6.56","6.36","6.75","6.08","5.41","4.26"
"P Tracking Error","4.12","4.61","4.43","5.23","6.01","12.01","7.86","9.51","10.8","9.02","7.89","11.99","11.79","12.58","13.93","13.46","14.14","14.47","5.5","6","5.51","7.18","5.77","10.26","7.3","8.69","9.17","9.57","6.77","10.51","10.53","11.3","12.13","11.44","12.17","11.65","5.33","5.6","5.19","6.61","6.5","9.66","7.51","8.81","9.26","9.93","7.57","10.1","10.25","10.41","11.11","10.66","10.82","10.3"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","2.52","2.66","2.49","3.57","3.2","4.22","3.58","2.95","3.46","4.9","3.22","2","2.67","2.24","1.91","1.35","1.63","1.14","1.41","1.42","1.45","1.16","2.6","2.9","2.45","1.82","1.86","2.43","1.88","1.91","1.91","1.82","1.84","1.86","2.52","2.37","1.69","1.69","1.7","1.34","1.41","2.05","1.52","1.18","1.28","1.49","1.26","1.24","1.27","1.42","1.29","1.16","2.15","2.14"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.78","0.81","0.93","1.17","1.16","2.86","1.69","1.8","1.41","2.61","1.29","1.32","1.28","1.62","1.66","1.11","0.16","0.32","0.57","0.55","0.67","0.49","0.8","1.7","0.83","0.75","0.75","1.59","0.74","1.13","0.93","1.12","1.26","1.26","1.49","1.66","0.67","0.62","0.62","0.51","0.5","1.22","0.63","0.61","0.54","1.02","0.5","0.69","0.55","0.84","0.82","0.74","1.11","1.33"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.99","1.06","1.07","1.08","1.12","1.17","1.19","1.23","1.37","1.18","1.08","1.04","1.08","1.06","1.08","1.1","1.3","1.34","1.07","1.14","1.13","1.18","1.16","1.16","1.21","1.26","1.34","1.22","1.14","1.16","1.21","1.2","1.19","1.18","1.19","1.13","1.06","1.12","1.12","1.17","1.19","1.18","1.23","1.3","1.37","1.28","1.2","1.22","1.26","1.24","1.25","1.22","1.16","1.1"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","96.48","96.47","96.99","96.17","96.17","85.78","96.2","95.05","97.12","85.05","78.82","59.3","62.58","57.07","49.16","44.37","58.17","47.59","94.2","94.97","95.8","94","95.89","85.3","94.32","92.79","94.85","88.97","93","82.49","83.86","81.28","77.94","79.39","78.86","78.55","92.12","93.03","94.14","92.24","93.55","84.29","93.45","92.61","94.25","88.4","91.68","85.81","86.98","85.67","83.86","83.73","80.44","80.02"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-33.3608","-34.4356","-34.9128","-35.2834","-36.5049","-37.8155","-37.2893","-38.5688","-32.6078","-12.6579","-9.7083","-12.699","-11.6727","-12.3053","-13.5096","-12.7311","-14.4085","-13.743","-33.3608","-34.4356","-34.9128","-35.2834","-36.5049","-37.8155","-37.2893","-38.5688","-39.7008","-37.9748","-36.2507","-37.4324","-38.0304","-38.233","-38.6083","-38.4192","-38.106","-35.7585","-33.3608","-34.4356","-34.9128","-35.2834","-36.5049","-37.8155","-37.2893","-38.5688","-39.7008","-37.9748","-36.2507","-37.4324","-38.0304","-38.233","-38.6083","-38.4192","-38.106","-35.7585"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-28.5203","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-9.6045","-7.4772","-5.2125","-5.2125","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","0.5642","-0.510600000000004","-0.9878","-1.3584","-2.5799","-3.8905","-3.3643","-4.64380000000001","-4.0875","-3.0534","-0.1038","-3.0945","-2.0682","-2.7008","-3.9051","-5.2539","-9.196","-8.5305","0.5642","-0.510600000000004","-0.9878","-1.3584","-2.5799","-3.8905","-3.3643","-4.64380000000001","-5.7758","-4.0498","-2.3257","-3.5074","-4.1054","-4.308","-4.6833","-4.4942","-4.181","-1.8335","0.5642","-0.510600000000004","-0.9878","-1.3584","-2.5799","-3.8905","-3.3643","-4.64380000000001","-5.7758","-4.0498","-2.3257","-3.5074","-4.1054","-4.308","-4.6833","-4.4942","-4.181","-1.8335"
