"","2018-07-10_to_2021-07-11_ALLPortfolio_8QRank","2018-08-10_to_2021-08-11_ALLPortfolio_8QRank","2018-09-10_to_2021-09-11_ALLPortfolio_8QRank","2018-10-10_to_2021-10-11_ALLPortfolio_8QRank"
"1",NA,NA,NA,NA
"P Annualized Returns","17.694","18.728","19.485","21.917"
"B Annualized Returns","16.077","16.188","16.321","18.123"
"AR DIFF(P-B)","1.617","2.54","3.164","3.794"
"P Volatility","21.07","21.95","22.3","22.06"
"B Volatility","18.65","18.63","18.65","18.23"
"V DIFF(P-B)","2.42","3.32","3.65","3.83"
"P Tracking Error","5.62","6.43","6.86","6.97"
"B Tracking Error","-","-","-","-"
"IR",NA,NA,NA,NA
"P Information Ratio","0.29","0.4","0.46","0.54"
"B Information Ratio","-","-","-","-"
"AS",NA,NA,NA,NA
"P Alpha Stat","0.09","0.07","0.09","0.08"
"B Alpha Stat","-","-","-","-"
"BS",NA,NA,NA,NA
"P Beta Stat","1.09","1.13","1.15","1.16"
"B Beta Stat","-","-","-","-"
"RS",NA,NA,NA,NA
"P R-Squared","93.35","92.5","91.8","91.5"
"B R-Squared","-","-","-","-"
"MD",NA,NA,NA,NA
"P Max Drawdown","-37.3471","-38.3237","-38.6288","-39.0835"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-3.4221","-4.39870000000001","-4.7038","-5.1585"
