"","2018-06-26_to_2020-06-27_GrowthPortfolio_12QRank","2018-07-26_to_2020-07-27_GrowthPortfolio_12QRank","2018-08-27_to_2020-08-27_GrowthPortfolio_12QRank","2018-09-26_to_2020-09-27_GrowthPortfolio_12QRank","2018-10-26_to_2020-10-27_GrowthPortfolio_12QRank","2018-11-26_to_2020-11-27_GrowthPortfolio_12QRank","2018-12-26_to_2020-12-27_GrowthPortfolio_12QRank","2019-01-28_to_2021-01-27_GrowthPortfolio_12QRank","2019-02-26_to_2021-02-27_GrowthPortfolio_12QRank","2019-03-26_to_2021-03-27_GrowthPortfolio_12QRank","2019-04-26_to_2021-04-27_GrowthPortfolio_12QRank","2019-05-28_to_2021-05-27_GrowthPortfolio_12QRank","2019-06-26_to_2021-06-27_GrowthPortfolio_12QRank","2019-07-26_to_2021-07-27_GrowthPortfolio_12QRank","2019-08-26_to_2021-08-27_GrowthPortfolio_12QRank","2019-09-26_to_2021-09-27_GrowthPortfolio_12QRank","2019-10-28_to_2021-10-27_GrowthPortfolio_12QRank","2019-11-26_to_2021-11-27_GrowthPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","13.522","16.389","18.093","15.897","28.327","40.726","37.66","40.14","36.224","34.929","36.063","34.928","37.972","34.764","38.262","38.752","40.521","38.261"
"B Annualized Returns","5.113","6.829","9.664","6.539","12.893","16.609","22.534","19.108","16.77","18.723","19.279","22.435","21.207","20.546","25.089","22.088","22.374","20.924"
"AR DIFF(P-B)","8.409","9.56","8.429","9.358","15.434","24.117","15.126","21.032","19.454","16.206","16.784","12.493","16.765","14.218","13.173","16.664","18.147","17.337"
"P Volatility","23.78","24.18","24.65","24.72","23.08","23.26","21.19","24.08","24.39","22.88","23.51","20.89","20.99","21.62","20.45","20.24","21.58","22.28"
"B Volatility","20.48","20.38","20.62","21.11","20.6","20.78","20.49","20.03","20.09","20.11","20.13","19.35","19.01","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","3.3","3.8","4.03","3.61","2.48","2.48","0.700000000000003","4.05","4.3","2.77","3.38","1.54","1.98","2.61","1.63","1.41","2.13","2.5"
"P Tracking Error","6.46","6.35","6.44","6.82","5.54","7.72","5.13","7.99","7.9","7.2","7.6","6.99","7.11","7.68","7.7","6.44","6.89","7.58"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.3","1.51","1.31","1.37","2.79","3.12","2.95","2.63","2.46","2.25","2.21","1.79","2.36","1.85","1.71","2.59","2.63","2.29"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.67","0.75","0.67","0.61","0.9","1.46","0.91","1.36","1.12","1.26","1.01","0.85","0.92","0.93","0.9","1.14","1.08","1.1"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.12","1.16","1.17","1.13","1.09","1.06","1","1.14","1.16","1.08","1.11","1.02","1.04","1.06","1.01","1.02","1.05","1.06"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","93.48","94.56","94.87","93.37","94.66","88.73","93.86","89.95","90.81","90.2","90","88.3","88.12","87.1","85.15","89.42","89.57","88.16"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-34.5299","-34.164","-34.5475","-34.5731","-35.2744","-36.0554","-34.3881","-36.6062","-37.0722","-35.3393","-35.8036","-34.6174","-35.1666","-36.0195","-35.174","-35.3625","-35.1907","-35.335"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.604900000000001","-0.239000000000004","-0.622500000000002","-0.648099999999999","-1.3494","-2.1304","-0.463100000000004","-2.6812","-3.14720000000001","-1.4143","-1.87860000000001","-0.692400000000006","-1.24160000000001","-2.0945","-1.249","-1.4375","-1.2657","-1.41"
