"","1 Y 2018-06-28 to 2020-06-29","1 Y 2018-07-30 to 2020-07-29","1 Y 2018-08-28 to 2020-08-29","1 Y 2018-09-28 to 2020-09-29","1 Y 2018-10-29 to 2020-10-29","1 Y 2018-11-28 to 2020-11-29","1 Y 2018-12-28 to 2020-12-29","1 Y 2019-01-28 to 2021-01-29","1 Y 2019-02-28 to 2021-03-01","1 Y 2019-03-28 to 2021-03-29","1 Y 2019-04-29 to 2021-04-29","1 Y 2019-05-28 to 2021-05-29","1 Y 2019-06-28 to 2021-06-29","1 Y 2019-07-29 to 2021-07-29","1 Y 2019-08-28 to 2021-08-29","1 Y 2019-09-30 to 2021-09-29","1 Y 2019-10-28 to 2021-10-29","1 Y 2019-11-29 to 2021-11-29","2 Y 2018-06-28 to 2020-06-29","2 Y 2018-07-30 to 2020-07-29","2 Y 2018-08-28 to 2020-08-29","2 Y 2018-09-28 to 2020-09-29","2 Y 2018-10-29 to 2020-10-29","2 Y 2018-11-28 to 2020-11-29","2 Y 2018-12-28 to 2020-12-29","2 Y 2019-01-28 to 2021-01-29","2 Y 2019-02-28 to 2021-03-01","2 Y 2019-03-28 to 2021-03-29","2 Y 2019-04-29 to 2021-04-29","2 Y 2019-05-28 to 2021-05-29","2 Y 2019-06-28 to 2021-06-29","2 Y 2019-07-29 to 2021-07-29","2 Y 2019-08-28 to 2021-08-29","2 Y 2019-09-30 to 2021-09-29","2 Y 2019-10-28 to 2021-10-29","2 Y 2019-11-29 to 2021-11-29"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-5.098","2.485","8.758","3.668","0.784","8.287","8.242","10.594","30.094","64.353","51.706","47.354","47.02","41.791","36.798","37.116","44.902","29.463","2.365","5.646","6.098","5.37","8.319","11.744","17.664","15.354","18.446","19.686","20.177","23.32","18.497","20.766","21.575","18.118","21.183","20.188"
"B Annualized Returns","3.008","8.14","19.949","12.051","8.643","15.325","15.7","13.113","26.344","51.356","43.271","38.762","40.565","35.622","29.41","30.7","39.131","28.629","5.972","7.826","9.719","6.803","11.081","15.153","21.965","17.702","17.943","18.338","19.567","22.908","20.356","21.104","24.958","21.017","22.946","21.709"
"AR DIFF(P-B)","-8.106","-5.655","-11.191","-8.383","-7.859","-7.038","-7.458","-2.519","3.75","12.997","8.435","8.592","6.45500000000001","6.169","7.388","6.416","5.771","0.834","-3.607","-2.18","-3.621","-1.433","-2.762","-3.409","-4.301","-2.348","0.503","1.348","0.609999999999999","0.411999999999999","-1.859","-0.338000000000001","-3.383","-2.899","-1.763","-1.521"
"P Volatility","25.89","24.54","25.04","25.44","26.23","25.88","29.07","28.93","16.84","17.35","14.53","13.31","13.22","14.52","13.54","12.8","15.18","11.46","21.33","21.06","21.23","21.42","21.53","21.26","21.87","21.02","21.69","22.22","21.93","20.76","21.07","21.08","20.68","21.03","21.71","22.28"
"B Volatility","24.14","22.95","23.31","24.08","24.78","24.95","27.08","27.13","18.1","18.1","14.96","15.07","15.25","14.95","14.07","12.21","13.41","10.99","20.48","20.38","20.62","20.72","20.6","20.78","20.49","20.03","20.11","20.11","20.13","19.35","19.46","19.01","18.82","18.83","19.45","19.78"
"V DIFF(P-B)","1.75","1.59","1.73","1.36","1.45","0.93","1.99","1.8","-1.26","-0.75","-0.430000000000001","-1.76","-2.03","-0.43","-0.530000000000001","0.59","1.77","0.470000000000001","0.849999999999998","0.68","0.609999999999999","0.700000000000003","0.93","0.48","1.38","0.989999999999998","1.58","2.11","1.8","1.41","1.61","2.07","1.86","2.2","2.26","2.5"
"P Tracking Error","4.48","4.3","3.98","4.08","5.9","7.16","7.18","6.37","5.18","5.04","4.73","6.18","5.48","5.2","5.55","5.16","4.44","4","3.93","3.93","3.84","4.14","4.88","5.33","5.27","4.77","5.22","5.41","5.17","5.61","5.63","5.27","5.96","5.92","5.47","5.65"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
