"","2018-06-26_to_2021-06-27_GrowthPortfolio_12QRank","2018-07-26_to_2021-07-27_GrowthPortfolio_12QRank","2018-08-27_to_2021-08-27_GrowthPortfolio_12QRank","2018-09-26_to_2021-09-27_GrowthPortfolio_12QRank","2018-10-26_to_2021-10-27_GrowthPortfolio_12QRank","2018-11-26_to_2021-11-27_GrowthPortfolio_12QRank"
"1",NA,NA,NA,NA,NA,NA
"P Annualized Returns","24.331","24.316","25.485","27.223","34.16","41.544"
"B Annualized Returns","16.275","15.729","15.88","15.174","19.589","19.763"
"AR DIFF(P-B)","8.056","8.587","9.605","12.049","14.571","21.781"
"P Volatility","21.21","21.52","21.72","21.64","20.69","22.7"
"B Volatility","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","2.43","2.78","3","2.9","2.25","3.99"
"P Tracking Error","6.16","6.08","6.14","6.47","5.79","9.45"
"B Tracking Error","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA
"P Information Ratio","1.31","1.41","1.56","1.86","2.52","2.3"
"B Information Ratio","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.48","0.61","0.55","0.75","0.87","1.29"
"B Alpha Stat","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA
"P Beta Stat","1.08","1.11","1.12","1.11","1.08","1.11"
"B Beta Stat","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA
"P R-Squared","91.88","92.69","92.86","91.67","92.48","82.96"
"B R-Squared","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA
"P Max Drawdown","-34.5299","-34.164","-34.5475","-34.5731","-35.2744","-36.0554"
"B Max Drawdown","-33.925","-33.925","-33.925","-33.925","-33.925","-33.925"
"MD DIFF(P-B)","-0.604900000000001","-0.239000000000004","-0.622500000000002","-0.648099999999999","-1.3494","-2.1304"
