"","1 Y 2018-01-03 to 2019-01-04","1 Y 2018-02-05 to 2019-02-04","1 Y 2018-03-05 to 2019-03-04","1 Y 2018-04-03 to 2019-04-04","1 Y 2018-05-03 to 2019-05-04","1 Y 2018-06-04 to 2019-06-04","1 Y 2018-07-03 to 2019-07-04","1 Y 2018-08-03 to 2019-08-04","1 Y 2018-09-03 to 2019-09-04","1 Y 2018-10-03 to 2019-10-04","1 Y 2018-11-05 to 2019-11-04","1 Y 2018-12-03 to 2019-12-04","1 Y 2019-01-03 to 2020-01-04","1 Y 2019-02-04 to 2020-02-04","1 Y 2019-03-04 to 2020-03-04","1 Y 2019-04-03 to 2020-04-04","1 Y 2019-05-03 to 2020-05-04","1 Y 2019-06-03 to 2020-06-04","1 Y 2019-07-03 to 2020-07-04","1 Y 2019-08-05 to 2020-08-04","1 Y 2019-09-03 to 2020-09-04","1 Y 2019-10-03 to 2020-10-04","1 Y 2019-11-04 to 2020-11-04","1 Y 2019-12-03 to 2020-12-04","1 Y 2020-01-03 to 2021-01-04","1 Y 2020-02-03 to 2021-02-04","1 Y 2020-03-03 to 2021-03-04","1 Y 2020-04-03 to 2021-04-04","1 Y 2020-05-04 to 2021-05-04","1 Y 2020-06-03 to 2021-06-04","1 Y 2020-07-03 to 2021-07-04","1 Y 2020-08-03 to 2021-08-04","1 Y 2020-09-03 to 2021-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","-7.119","3.298","5.062","8.737","13.419","5.916","12.275","4.543","5.912","6.022","14.503","16.159","33.021","19.661","9.381","-20.282","-10.775","3.143","-3.957","7.401","6.437","7.396","3.043","12.591","7.225","9.166","16.847","72.779","62.145","41.018","45.477","39.635","39.098"
"B Annualized Returns","-7.05","2.874","2.649","8.874","12.013","2.053","10.416","3.237","1.417","1.737","12.451","15.285","32.148","21.018","12.205","-13.57","-3.068","10.127","4.479","16.232","15.153","15.041","11.996","18.659","14.038","15.545","23.097","61.741","46.449","35.907","39.178","33.152","30.9"
"AR DIFF(P-B)","-0.069","0.424","2.413","-0.137","1.406","3.863","1.859","1.306","4.495","4.285","2.052","0.873999999999999","0.872999999999998","-1.357","-2.824","-6.712","-7.707","-6.984","-8.436","-8.831","-8.716","-7.645","-8.953","-6.068","-6.813","-6.379","-6.25","11.038","15.696","5.111","6.299","6.483","8.198"
"P Volatility","14.33","16.84","17.02","17.41","17.57","18.57","19.74","19.74","19.73","18.18","18.65","14.2","12.22","11.79","15.84","23.24","26.99","26.87","26.93","27.35","28.08","28.04","26.66","29.01","29.07","26.46","16.67","14.56","14.69","13.99","14.78","15.16","13.43"
"B Volatility","14.47","16.68","16.61","16.65","16.93","18.65","19.65","19.47","19.61","17.84","17.85","13.57","11.95","11.99","15.74","20.15","23.54","22.92","22.95","23.31","24.08","24.78","24.95","27.08","27.13","24.53","17.78","14.57","14.69","14.87","14.57","13.66","11.73"
"V DIFF(P-B)","-0.140000000000001","0.16","0.41","0.760000000000002","0.640000000000001","-0.0799999999999983","0.0899999999999999","0.27","0.120000000000001","0.34","0.799999999999997","0.629999999999999","0.270000000000001","-0.200000000000001","0.0999999999999996","3.09","3.45","3.95","3.98","4.04","4","3.26","1.71","1.93","1.94","1.93","-1.11","-0.00999999999999979","0","-0.879999999999999","0.209999999999999","1.5","1.7"
"P Tracking Error","3.16","3.26","2.98","3.22","3.45","3.22","3","2.25","2.43","2.32","2.39","2.43","2.52","2.13","1.9","4.58","4.83","5.38","5.43","5.45","5.3","6.06","6.25","6.13","6.9","7.51","8.83","9.39","9.94","9.1","10.13","9.85","9.11"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
