"","2015-12-28_to_2018-12-29_GrowthPortfolio_2QRank","2016-01-28_to_2019-01-29_GrowthPortfolio_2QRank","2016-02-29_to_2019-03-01_GrowthPortfolio_2QRank","2016-03-28_to_2019-03-29_GrowthPortfolio_2QRank","2016-04-28_to_2019-04-29_GrowthPortfolio_2QRank","2016-05-31_to_2019-05-29_GrowthPortfolio_2QRank","2016-06-28_to_2019-06-29_GrowthPortfolio_2QRank","2016-07-28_to_2019-07-29_GrowthPortfolio_2QRank","2016-08-29_to_2019-08-29_GrowthPortfolio_2QRank","2016-09-28_to_2019-09-29_GrowthPortfolio_2QRank","2016-10-28_to_2019-10-29_GrowthPortfolio_2QRank","2016-11-28_to_2019-11-29_GrowthPortfolio_2QRank","2016-12-28_to_2019-12-29_GrowthPortfolio_2QRank","2017-01-30_to_2020-01-29_GrowthPortfolio_2QRank","2017-02-28_to_2020-02-29_GrowthPortfolio_2QRank","2017-03-28_to_2020-03-29_GrowthPortfolio_2QRank","2017-04-28_to_2020-04-29_GrowthPortfolio_2QRank","2017-05-30_to_2020-05-29_GrowthPortfolio_2QRank","2017-06-28_to_2020-06-29_GrowthPortfolio_2QRank","2017-07-28_to_2020-07-29_GrowthPortfolio_2QRank","2017-08-28_to_2020-08-29_GrowthPortfolio_2QRank","2017-09-28_to_2020-09-29_GrowthPortfolio_2QRank","2017-10-30_to_2020-10-29_GrowthPortfolio_2QRank","2017-11-28_to_2020-11-29_GrowthPortfolio_2QRank","2017-12-28_to_2020-12-29_GrowthPortfolio_2QRank","2018-01-29_to_2021-01-29_GrowthPortfolio_2QRank","2018-02-28_to_2021-03-01_GrowthPortfolio_2QRank","2018-03-28_to_2021-03-29_GrowthPortfolio_2QRank","2018-04-30_to_2021-04-29_GrowthPortfolio_2QRank","2018-05-29_to_2021-05-29_GrowthPortfolio_2QRank","2018-06-28_to_2021-06-29_GrowthPortfolio_2QRank","2018-07-30_to_2021-07-29_GrowthPortfolio_2QRank","2018-08-28_to_2021-08-29_GrowthPortfolio_2QRank","2018-09-28_to_2021-09-29_GrowthPortfolio_2QRank","2018-10-29_to_2021-10-29_GrowthPortfolio_2QRank","2018-11-28_to_2021-11-29_GrowthPortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.643","15.443","16.132","18.477","16.458","13.987","12.979","17.718","14.162","16.297","20.578","15.325","13.107","11.358","7.494","1.561","10.499","18.355","17.66","19.906","21.216","30.691","31.96","26.608","29.962","34.252","31.223","27.311","26.652","24.982","28.677","29.254","27.67","18.119","27.375","24.954"
"B Annualized Returns","6.517","11.696","13.199","11.629","12.328","9.914","13.05","11.647","10.283","10.913","12.602","12.561","12.938","12.809","7.718","2.521","7.215","8.056","7.735","9.625","12.787","9.921","8.762","11.467","11.494","9.176","12.841","15.06","16.726","16.051","16.439","16.393","15.886","14.343","20.341","19.232"
"AR DIFF(P-B)","5.126","3.747","2.933","6.848","4.13","4.073","-0.0710000000000015","6.071","3.879","5.384","7.976","2.764","0.168999999999999","-1.451","-0.224","-0.96","3.284","10.299","9.925","10.281","8.429","20.77","23.198","15.141","18.468","25.076","18.382","12.251","9.926","8.931","12.238","12.861","11.784","3.776","7.034","5.722"
"P Volatility","11.26","11.92","13.11","14.02","13.12","12.73","12.82","16.77","17.26","17.4","17.46","17.68","18.24","18.83","17.34","17.97","20.5","20.49","20.7","21.03","21.42","25.12","25.46","22.86","27.21","28.09","26.3","23.72","25.45","25.16","23.51","23.55","25.32","22.86","18.98","18.06"
"B Volatility","9.36","10.52","11.18","10.84","10.85","10.98","11.84","12.27","12.25","12.34","12.23","12.16","12.23","12.27","12.19","13.36","15.44","17.05","17.2","17.19","17.41","17.76","17.99","18.07","19","18.87","18.44","18.57","18.65","18.78","18.78","18.74","18.72","18.74","18.44","18.71"
"V DIFF(P-B)","1.9","1.4","1.93","3.18","2.27","1.75","0.98","4.5","5.01","5.06","5.23","5.52","6.01","6.56","5.15","4.61","5.06","3.44","3.5","3.84","4.01","7.36","7.47","4.79","8.21","9.22","7.86","5.15","6.8","6.38","4.73","4.81","6.6","4.12","0.539999999999999","-0.650000000000002"
"P Tracking Error","4.94","4.95","5.12","5.18","4.12","4.99","4.45","6.83","7.01","7.12","7.28","7.16","7.61","8.12","6.64","6.3","6.19","6.71","6.7","6.29","6.62","12.4","12.84","9.17","12.5","14.05","11.51","8.91","10.99","10.23","8.63","9.47","11.15","6.5","5.05","5.56"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","1.04","0.76","0.57","1.32","1","0.82","-0.02","0.89","0.55","0.76","1.1","0.39","0.02","-0.18","-0.03","-0.15","0.53","1.53","1.48","1.63","1.27","1.67","1.81","1.65","1.48","1.78","1.6","1.37","0.9","0.87","1.42","1.36","1.06","0.58","1.39","1.03"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","0.34","0.29","0.15","0.29","0.23","0.21","0","0.26","0.13","0.21","0.25","-0.14","-0.34","-0.43","-0.3","-0.05","0.1","0.61","0.7","0.63","0.51","1.24","1.35","0.85","0.98","1.61","1.03","0.94","0.59","0.41","0.52","0.76","0.66","0.08","0.45","0.53"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","1.08","1.03","1.08","1.22","1.16","1.07","1.02","1.28","1.33","1.33","1.34","1.38","1.42","1.46","1.36","1.29","1.3","1.14","1.15","1.18","1.18","1.26","1.25","1.17","1.31","1.33","1.32","1.2","1.26","1.25","1.18","1.16","1.24","1.18","0.99","0.92"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
