"","3 Y 2017-08-16 to 2020-08-17","3 Y 2017-09-18 to 2020-09-17","3 Y 2017-10-16 to 2020-10-17","3 Y 2017-11-16 to 2020-11-17","3 Y 2017-12-18 to 2020-12-17","3 Y 2018-01-16 to 2021-01-17","3 Y 2018-02-16 to 2021-02-17","3 Y 2018-03-16 to 2021-03-17","3 Y 2018-04-16 to 2021-04-17","3 Y 2018-05-16 to 2021-05-17","3 Y 2018-06-18 to 2021-06-17","3 Y 2018-07-16 to 2021-07-17","3 Y 2018-08-16 to 2021-08-17","3 Y 2018-09-17 to 2021-09-17","3 Y 2018-10-16 to 2021-10-17","3 Y 2018-11-16 to 2021-11-17","3 Y 2018-12-17 to 2021-12-17","3 Y 2019-01-16 to 2022-01-17","3 Y 2019-02-18 to 2022-02-17","3 Y 2019-03-18 to 2022-03-17","3 Y 2019-04-16 to 2022-04-17","3 Y 2019-05-16 to 2022-05-17","3 Y 2019-06-17 to 2022-06-17","3 Y 2019-07-16 to 2022-07-17","3 Y 2019-08-16 to 2022-08-17","3 Y 2019-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",6.477,6.268,5.813,10.074,14.826,20.028,21.702,24.316,23.652,23.273,31.85,23.578,30.208,35.36,35.89,36.127,32.15,31.006,35.164,29.807,30.905,16.938,21.306,24.766,42.493,41.966
"B Annualized Returns",3.65,3.517,3.334,6.246,8.418,9.679,12.908,13.025,10.512,11.014,13.119,13.34,12.978,15.377,19.571,18.555,16.333,18.438,17.708,13.948,15.363,12.58,10.007,11.413,17.847,18.287
"AR DIFF(P-B)",2.827,2.751,2.479,3.828,6.408,10.349,8.794,11.291,13.14,12.259,18.731,10.238,17.23,19.983,16.319,17.572,15.817,12.568,17.456,15.859,15.542,4.358,11.299,13.353,24.646,23.679
"P Volatility",24.16,24.88,24.79,25.45,24.21,25.63,26.12,28.11,27.41,24.08,27.66,24.08,25.59,24.74,22.98,24.5,23.37,24,24.58,26.8,26.1,26.29,28.49,28.42,31.19,30.07
"B Volatility",21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",2.48,3.2,3.37,3.98,1.86,2.96,3.69,5.31,4.57,1.24,4.78,1.47,3.01,2.31,0.870000000000001,2.43,1.05,1.73,2.34,4.2,3.18,3.36,5.31,5.36,7.86,6.81
"P Tracking Error",9.23,9.12,9.59,10.48,10.92,10.93,9.43,11.02,11.24,9.14,11.62,9.44,10.16,9.46,8.54,9.59,10.75,8.95,9.87,10.32,10.11,10.47,11.36,10.89,13.62,13.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
