"","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.879,4.354,4.819,0.545,1.044,1.84,0.317,-8.591,-9.807,-6.168,-4.243,-3.401,-2.57,6.702,1.375,3.464,5.644,9.386,27.821,16.691,18.742,17.683,21.954,17.984,36.693,35.085,41.55,37.932,38.216,30.844,33.532,67.216,79.306,72.952,52.695,40.672,40.705,30.161
"B Annualized Returns",3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",1.298,1.744,0.605,-5.362,-4.595,-3.652,-6.654,-2.835,-1.172,2.213,0.718,-1.473,-1.657,6.44,-2.661,-4.255,-5.621,-5.594,8.017,2.793,6.611,2.224,5.106,0.691000000000003,13.844,7.108,14.854,14.055,18.252,8.765,13.199,31.123,38.802,38.261,27.725,17.774,14.119,4.789
"P Volatility",13.8,14.24,12.85,14.24,13.29,13.6,12.5,12.86,19.64,27.79,28.26,28.85,29.86,27.95,29.24,27.44,30.5,33.86,35.45,37.86,36.35,38.74,40.85,39.16,44.25,40.76,38.78,38.11,37.37,36.36,34.16,28.07,26.43,28.05,28.06,27.97,27.07,25.67
"B Volatility",13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",0.140000000000001,0.609999999999999,-0.470000000000001,0.74,-0.180000000000001,0.4,-0.130000000000001,0.0999999999999996,-3.15,3.37,3.86,4.19,4.72,3.24,4.83,3.1,4.96,7.89,9.47,11.46,9.78,12.18,14.21,13.18,18.36,14.59,12.63,11.95,10.87,9.9,8.02,11.25,10.42,12.12,11.84,11.38,9.88,8.59
"P Tracking Error",11.54,11.97,11.46,11.38,11.44,10.95,9.14,10.73,8.35,12.73,12.48,10.95,10.48,10.43,10.67,9.72,11.09,13.96,15.39,17.53,17.28,19.41,20.78,19.15,24,22.08,20.21,20.19,20.02,20.15,16.29,18.41,18.81,19.69,19.82,17.83,17.58,13.51
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.11,0.15,0.05,-0.47,-0.4,-0.33,-0.73,-0.26,-0.14,0.17,0.06,-0.13,-0.16,0.62,-0.25,-0.44,-0.51,-0.4,0.52,0.16,0.38,0.11,0.25,0.04,0.58,0.32,0.73,0.7,0.91,0.43,0.81,1.69,2.06,1.94,1.4,1,0.8,0.35
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.12,0.26,0.04,-0.1,-0.29,-0.03,-0.35,-0.31,-0.92,0.37,0.28,-0.15,-0.06,0.46,-0.18,-0.27,-0.48,-0.67,0.04,0.13,0.49,-0.06,0.08,0.06,0.65,0.43,0.16,0.71,1.21,0.76,1.15,1.5,1.77,1.31,1.37,0.87,0.64,-0.07
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.65,0.66,0.59,0.7,0.63,0.69,0.73,0.65,0.8,1.01,1.04,1.09,1.12,1.05,1.12,1.06,1.12,1.21,1.26,1.31,1.22,1.3,1.37,1.36,1.53,1.36,1.3,1.26,1.21,1.15,1.16,1.29,1.17,1.29,1.25,1.34,1.22,1.32
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",39.08,37.1,35.12,41.47,37.39,41.83,51.87,39.36,86.47,78.02,79.69,85.46,88.13,85.62,87.14,87.13,87.2,84.8,83.92,82.36,79.16,78.03,79.05,81.08,79.3,74.78,75.86,74,72.22,69.14,77.75,58.17,48.07,51.16,49.95,61.77,57.8,75.63
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
