"","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA
"P Annualized Returns",30.541,27.433,30.716,40.45,44.321
"B Annualized Returns",12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",17.999,16.587,19.053,22.948,25.821
"P Volatility",28.84,28.8,27.7,29,27.5
"B Volatility",22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",5.91,5.62,4.64,5.67,4.24
"P Tracking Error",12.23,11.97,11.76,11.97,11.57
"B Tracking Error",NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA
"P Information Ratio",1.47,1.39,1.62,1.92,2.23
"B Information Ratio",NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA
"P Alpha Stat",1.3,1.07,1.27,1.39,1.71
"B Alpha Stat",NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA
"P Beta Stat",1.15,1.14,1.09,1.14,1.07
"B Beta Stat",NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA
"P R-Squared",82.91,83.46,82.01,83.76,82.18
"B R-Squared",NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA
"P Max Drawdown",-38.2113,-38.3775,-38.0406,-38.8196,-36.7273
"B Max Drawdown",-38.3055,-38.3055,-38.3055,-38.3055,-38.3055
"MD DIFF(P-B)",0.0942000000000007,-0.0719999999999956,0.264900000000004,-0.514099999999999,1.5782
