"","2 Y 2016-11-16 to 2018-11-17","2 Y 2016-12-16 to 2018-12-17","2 Y 2017-01-16 to 2019-01-17","2 Y 2017-02-16 to 2019-02-17","2 Y 2017-03-16 to 2019-03-17","2 Y 2017-04-17 to 2019-04-17","2 Y 2017-05-16 to 2019-05-17","2 Y 2017-06-16 to 2019-06-17","2 Y 2017-07-17 to 2019-07-17","2 Y 2017-08-16 to 2019-08-17","2 Y 2017-09-18 to 2019-09-17","2 Y 2017-10-16 to 2019-10-17","2 Y 2017-11-16 to 2019-11-17","2 Y 2017-12-18 to 2019-12-17","2 Y 2018-01-16 to 2020-01-17","2 Y 2018-02-16 to 2020-02-17","2 Y 2018-03-16 to 2020-03-17","2 Y 2018-04-16 to 2020-04-17","2 Y 2018-05-16 to 2020-05-17","2 Y 2018-06-18 to 2020-06-17","2 Y 2018-07-16 to 2020-07-17","2 Y 2018-08-16 to 2020-08-17","2 Y 2018-09-17 to 2020-09-17","2 Y 2018-10-16 to 2020-10-17","2 Y 2018-11-16 to 2020-11-17","2 Y 2018-12-17 to 2020-12-17","2 Y 2019-01-16 to 2021-01-17","2 Y 2019-02-18 to 2021-02-17","2 Y 2019-03-18 to 2021-03-17","2 Y 2019-04-16 to 2021-04-17","2 Y 2019-05-16 to 2021-05-17","2 Y 2019-06-17 to 2021-06-17","2 Y 2019-07-16 to 2021-07-17","2 Y 2019-08-16 to 2021-08-17","2 Y 2019-09-16 to 2021-09-17","2 Y 2019-10-16 to 2021-10-17","2 Y 2019-11-18 to 2021-11-17","2 Y 2019-12-16 to 2021-12-17","2 Y 2020-01-16 to 2022-01-17","2 Y 2020-02-17 to 2022-02-17","2 Y 2020-03-16 to 2022-03-17","2 Y 2020-04-16 to 2022-04-17","2 Y 2020-05-18 to 2022-05-17","2 Y 2020-06-16 to 2022-06-17","2 Y 2020-07-16 to 2022-07-17","2 Y 2020-08-17 to 2022-08-17","2 Y 2020-09-16 to 2022-09-17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.133,21.497,17.632,8.415,11.782,15.432,10.547,11.117,14.012,6.639,3.412,2.464,9.495,2.851,5.628,6.683,-4.974,-2.41,-2.464,-1.059,4.144,1.679,6.396,11.812,12.135,21.589,44.947,61.282,49.156,32.461,61.901,29.887,42.812,58.522,58.138,49.473,59.999,44.263,39.298,38.998,58.95,57.078,54.381,39.92,49.464,50.593,51.309
"B Annualized Returns",14.396,15.337,13.47,9.735,10.555,11.927,7.156,9.772,7.18,3.581,2.61,4.214,5.907,5.639,5.492,6.971,-5.756,-8.635,-8.381,-4.961,-1.928,-0.913,0.262,4.036,7.719,11.265,14.98,19.804,13.898,12.131,15.459,16.848,17.293,22.849,27.977,26.696,23.877,19.964,22.079,20.333,36.093,40.504,34.691,24.97,22.898,26.586,25.372
"AR DIFF(P-B)",9.737,6.16,4.162,-1.32,1.227,3.505,3.391,1.345,6.832,3.058,0.802,-1.75,3.588,-2.788,0.136,-0.288,0.782,6.225,5.917,3.902,6.072,2.592,6.134,7.776,4.416,10.324,29.967,41.478,35.258,20.33,46.442,13.039,25.519,35.673,30.161,22.777,36.122,24.299,17.219,18.665,22.857,16.574,19.69,14.95,26.566,24.007,25.937
"P Volatility",18.26,17.62,16.65,16.95,16.05,16.6,15.2,13.7,13.79,15.63,15.26,13.83,17.19,13.68,14.66,15.35,16.77,22.23,25.89,26.71,28.09,26.95,26.94,27.46,30.16,28.58,34.8,34.6,35.66,32.26,38.97,34,35.39,35.13,34.28,31.36,32.6,28.63,30.24,28.83,21.02,18.1,19.32,22.75,21.24,22.95,23.77
"B Volatility",13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01,15.93,16.22,16.59,17.19,17.08
"V DIFF(P-B)",4.58,3.98,3.54,3.96,3.15,3.23,1.87,0.41,1.04,1.97,1.63,0.51,3.69,0.209999999999999,1.46,2.72,4.01,-0.559999999999999,1.47,2.31,3.43,1.81,2.23,3.05,5.82,3.04,8.83,8.62,9.26,5.69,12.41,7.36,9.41,9.24,8.11,5.21,6.44,2.13,3.78,2.69,4.2,2.09,3.39,6.53,4.65,5.76,6.69
"P Tracking Error",10.57,9.09,10.37,10.09,9.68,9.86,8.98,7.89,7.36,9.12,8.48,8.3,10.59,8.77,9.35,8.19,8.56,8.42,7.93,7.33,7.23,6.84,9.01,9.02,10.87,10.01,18.06,19.95,19.2,12.87,21.08,13.64,19.28,18.02,17.36,12.82,16.67,12.51,12.88,11.28,11.23,10.08,10.6,12.26,11.07,11.96,12.03
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
