"","3 Y 2017-02-14 to 2020-02-15","3 Y 2017-03-14 to 2020-03-15","3 Y 2017-04-17 to 2020-04-15","3 Y 2017-05-15 to 2020-05-15","3 Y 2017-06-14 to 2020-06-15","3 Y 2017-07-14 to 2020-07-15","3 Y 2017-08-14 to 2020-08-15","3 Y 2017-09-14 to 2020-09-15","3 Y 2017-10-16 to 2020-10-15","3 Y 2017-11-14 to 2020-11-15","3 Y 2017-12-14 to 2020-12-15","3 Y 2018-01-15 to 2021-01-15","3 Y 2018-02-14 to 2021-02-15","3 Y 2018-03-14 to 2021-03-15","3 Y 2018-04-16 to 2021-04-15","3 Y 2018-05-14 to 2021-05-15","3 Y 2018-06-14 to 2021-06-15","3 Y 2018-07-16 to 2021-07-15","3 Y 2018-08-14 to 2021-08-15","3 Y 2018-09-14 to 2021-09-15","3 Y 2018-10-15 to 2021-10-15","3 Y 2018-11-14 to 2021-11-15","3 Y 2018-12-14 to 2021-12-15","3 Y 2019-01-14 to 2022-01-15","3 Y 2019-02-14 to 2022-02-15","3 Y 2019-03-14 to 2022-03-15","3 Y 2019-04-15 to 2022-04-15","3 Y 2019-05-14 to 2022-05-15","3 Y 2019-06-14 to 2022-06-15","3 Y 2019-07-15 to 2022-07-15","3 Y 2019-08-14 to 2022-08-15","3 Y 2019-09-16 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.157,8.696,3.974,3.542,6.269,4.682,3.738,4.407,7.984,7.994,8.948,11.409,12.338,19.297,17.688,20.451,28.356,19.823,18.569,23.403,21.59,25.946,21.686,21.777,22.419,15.628,41.418,23.811,19.203,21.199,43.564,33.12
"B Annualized Returns",10.596,1.098,-2.267,-1.87,0.25,1.361,3.65,3.18,4.162,6.305,8.527,9.462,11.978,12.366,9.851,10.781,13.105,13.197,12.65,14.89,19.884,18.884,16.583,18.907,16.076,13.931,14.883,12.542,10.846,11.663,17.502,18.5
"AR DIFF(P-B)",7.561,7.598,6.241,5.412,6.019,3.321,0.0880000000000001,1.227,3.822,1.689,0.421000000000001,1.947,0.359999999999999,6.931,7.837,9.67,15.251,6.626,5.919,8.513,1.706,7.062,5.103,2.87,6.343,1.697,26.535,11.269,8.357,9.536,26.062,14.62
"P Volatility",13.53,14.5,19.25,22.53,22.56,22.01,22.51,21.81,23.05,23.34,23.75,24.63,24.45,24.06,24.48,25.15,25.87,24.52,24.48,24.35,23.48,24.43,24.88,22.33,23.51,21.33,25.82,23.42,23.1,23.01,29.07,25.52
"B Volatility",12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92,22.93,23.18,23.06,23.33,23.26
"V DIFF(P-B)",1.3,2.09,-0.699999999999999,1.52,1.56,0.720000000000002,0.830000000000002,0.129999999999999,1.63,1.87,1.4,1.96,2.02,1.26,1.64,2.31,2.99,1.91,1.9,1.92,1.37,2.36,2.56,0.0599999999999987,1.27,-1.27,2.9,0.490000000000002,-0.0799999999999983,-0.0499999999999972,5.74,2.26
"P Tracking Error",6.72,6.64,6.17,6.91,6.78,7.59,6.43,6.99,8.25,7.49,6.82,6.41,6.72,6.14,7.52,7.81,9.54,8.09,8.55,7.92,8.43,8.09,8.77,8.71,8.18,7.81,13.56,8.46,8.81,8.81,17.22,9.95
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
