"","1 Y 2017-02-14 to 2018-02-15","1 Y 2017-03-14 to 2018-03-15","1 Y 2017-04-17 to 2018-04-15","1 Y 2017-05-15 to 2018-05-15","1 Y 2017-06-14 to 2018-06-15","1 Y 2017-07-14 to 2018-07-15","1 Y 2017-08-14 to 2018-08-15","1 Y 2017-09-14 to 2018-09-15","1 Y 2017-10-16 to 2018-10-15","1 Y 2017-11-14 to 2018-11-15","1 Y 2017-12-14 to 2018-12-15","1 Y 2018-01-15 to 2019-01-15","1 Y 2018-02-14 to 2019-02-15","1 Y 2018-03-14 to 2019-03-15","1 Y 2018-04-16 to 2019-04-15","1 Y 2018-05-14 to 2019-05-15","1 Y 2018-06-14 to 2019-06-15","1 Y 2018-07-16 to 2019-07-15","1 Y 2018-08-14 to 2019-08-15","1 Y 2018-09-14 to 2019-09-15","1 Y 2018-10-15 to 2019-10-15","1 Y 2018-11-14 to 2019-11-15","1 Y 2018-12-14 to 2019-12-15","1 Y 2019-01-14 to 2020-01-15","1 Y 2019-02-14 to 2020-02-15","1 Y 2019-03-14 to 2020-03-15","1 Y 2019-04-15 to 2020-04-15","1 Y 2019-05-14 to 2020-05-15","1 Y 2019-06-14 to 2020-06-15","1 Y 2019-07-15 to 2020-07-15","1 Y 2019-08-14 to 2020-08-15","1 Y 2019-09-16 to 2020-09-15","1 Y 2019-10-14 to 2020-10-15","1 Y 2019-11-14 to 2020-11-15","1 Y 2019-12-16 to 2020-12-15","1 Y 2020-01-14 to 2021-01-15","1 Y 2020-02-14 to 2021-02-15","1 Y 2020-03-16 to 2021-03-15","1 Y 2020-04-15 to 2021-04-15","1 Y 2020-05-14 to 2021-05-15","1 Y 2020-06-15 to 2021-06-15","1 Y 2020-07-14 to 2021-07-15","1 Y 2020-08-14 to 2021-08-15","1 Y 2020-09-14 to 2021-09-15","1 Y 2020-10-14 to 2021-10-15","1 Y 2020-11-14 to 2021-11-15","1 Y 2020-12-14 to 2021-12-15","1 Y 2021-01-14 to 2022-01-15","1 Y 2021-02-15 to 2022-02-15","1 Y 2021-03-15 to 2022-03-15","1 Y 2021-04-15 to 2022-04-15","1 Y 2021-05-14 to 2022-05-15","1 Y 2021-06-14 to 2022-06-15","1 Y 2021-07-14 to 2022-07-15","1 Y 2021-08-16 to 2022-08-15","1 Y 2021-09-14 to 2022-09-15"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.522,13.45,20.952,15.033,18.051,6.13,11.956,10.978,-7.28,-5.047,-6.317,-11.878,-16.526,-2.875,1.502,-5.698,-3.098,0.254,-11.893,1.863,18.575,4.011,6.206,5.271,9.293,-16.391,-30.385,-5.292,20.852,-15.185,-1.018,0.789,-0.098,11.349,14.272,20.871,31.791,147.347,172.688,126.441,105.708,81.567,76.138,76.45,132.509,73.092,30.753,17.517,7.663,0.07,10.738,-5.698,-7.575,-3.771,10.452,8.679
"B Annualized Returns",20.108,15.018,14.749,13.23,11.894,9.846,13.266,10.014,-1.584,1.963,3.304,-2.022,0.073,7.236,7.85,1.855,8.008,5.044,-5.45,-4.847,6.224,10.191,7.743,12.885,12.552,-16.266,-25.765,-17.557,-15.035,-8.698,2.646,3.809,4.419,6.923,13.141,18.662,26.601,65.75,60.355,63.423,62.214,51.117,46.935,53.015,54.259,41.647,29.133,25.679,10.54,13.177,22.109,6.499,-0.562,0.909,7.389,4.721
"AR DIFF(P-B)",2.414,-1.568,6.203,1.803,6.157,-3.716,-1.31,0.964,-5.696,-7.01,-9.621,-9.856,-16.599,-10.111,-6.348,-7.553,-11.106,-4.79,-6.443,6.71,12.351,-6.18,-1.537,-7.614,-3.259,-0.125,-4.62,12.265,35.887,-6.487,-3.664,-3.02,-4.517,4.426,1.131,2.209,5.19,81.597,112.333,63.018,43.494,30.45,29.203,23.435,78.25,31.445,1.62,-8.162,-2.877,-13.107,-11.371,-12.197,-7.013,-4.68,3.063,3.958
"P Volatility",11.7,10.33,13.17,13.82,14.68,16.07,14.56,15.79,14.57,14.47,15.76,13.22,15.18,15.02,15.5,16.2,17.61,14.76,17.96,16.15,16.57,19.55,18.63,16.92,18.27,20.75,35.61,50.81,50.7,47.91,52.34,54.48,50.63,46.18,47.68,49.05,43.63,31.88,33.11,37.84,31.42,28.33,32.29,29.02,28.18,20.69,17.44,13.27,13.95,14.77,15.19,12.91,12.65,12.46,15.51,14.14
"B Volatility",9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27,14.79,16.03,17.12,17.17,17.15
"V DIFF(P-B)",1.82,-1.73,0.449999999999999,0.67,1.7,4.2,0.970000000000001,2.46,-0.0999999999999996,-1.2,-0.319999999999999,-2.24,0.640000000000001,0.85,0.800000000000001,1.47,3.08,1.95,3.95,3.91,4.75,7.9,6.91,5.33,6.69,9.67,6.25,18.34,18.23,14.35,17.95,20.31,16.64,12.1,11.68,12.45,7.43,15.36,16.19,21.48,15.78,12.94,16.63,13.39,12.54,7.26,3.34,-0.57,2.66,1.24,-0.0800000000000001,-1.88,-3.38,-4.66,-1.66,-3.01
"P Tracking Error",6.74,9.99,9.34,6.88,10.46,12.66,12.7,12.75,10.09,9.99,12.21,8.12,6.82,8.62,6.96,5.05,8.47,5.27,6.62,9.86,8.03,11.48,9.28,9.74,11.99,14.84,16.91,26.8,27.59,24.3,24.95,26.75,21.66,21.42,19.26,19.85,15.03,20.02,26.19,26.12,20.55,17.02,20.02,17.13,18.97,15.25,9.76,9.84,12.16,9.3,7.98,8.46,9.31,11.52,10.38,10.93
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
