"","2013-03-12_to_2015-03-13_GrowthPortfolio_1QRank","2013-04-12_to_2015-04-13_GrowthPortfolio_1QRank","2013-05-13_to_2015-05-13_GrowthPortfolio_1QRank","2013-06-12_to_2015-06-13_GrowthPortfolio_1QRank","2013-07-12_to_2015-07-13_GrowthPortfolio_1QRank","2013-08-12_to_2015-08-13_GrowthPortfolio_1QRank","2013-09-12_to_2015-09-13_GrowthPortfolio_1QRank","2013-10-14_to_2015-10-13_GrowthPortfolio_1QRank","2013-11-12_to_2015-11-13_GrowthPortfolio_1QRank","2013-12-12_to_2015-12-13_GrowthPortfolio_1QRank","2014-01-13_to_2016-01-13_GrowthPortfolio_1QRank","2014-02-12_to_2016-02-13_GrowthPortfolio_1QRank","2014-03-12_to_2016-03-13_GrowthPortfolio_1QRank","2014-04-14_to_2016-04-13_GrowthPortfolio_1QRank","2014-05-12_to_2016-05-13_GrowthPortfolio_1QRank","2014-06-12_to_2016-06-13_GrowthPortfolio_1QRank","2014-07-14_to_2016-07-13_GrowthPortfolio_1QRank","2014-08-12_to_2016-08-13_GrowthPortfolio_1QRank","2014-09-12_to_2016-09-13_GrowthPortfolio_1QRank","2014-10-13_to_2016-10-13_GrowthPortfolio_1QRank","2014-11-12_to_2016-11-13_GrowthPortfolio_1QRank","2014-12-12_to_2016-12-13_GrowthPortfolio_1QRank","2015-01-12_to_2017-01-13_GrowthPortfolio_1QRank","2015-02-12_to_2017-02-13_GrowthPortfolio_1QRank","2015-03-12_to_2017-03-13_GrowthPortfolio_1QRank","2015-04-13_to_2017-04-13_GrowthPortfolio_1QRank","2015-05-12_to_2017-05-13_GrowthPortfolio_1QRank","2015-06-12_to_2017-06-13_GrowthPortfolio_1QRank","2015-07-13_to_2017-07-13_GrowthPortfolio_1QRank","2015-08-12_to_2017-08-13_GrowthPortfolio_1QRank","2015-09-14_to_2017-09-13_GrowthPortfolio_1QRank","2015-10-12_to_2017-10-13_GrowthPortfolio_1QRank","2015-11-12_to_2017-11-13_GrowthPortfolio_1QRank","2015-12-14_to_2017-12-13_GrowthPortfolio_1QRank","2016-01-12_to_2018-01-13_GrowthPortfolio_1QRank","2016-02-12_to_2018-02-13_GrowthPortfolio_1QRank","2016-03-14_to_2018-03-13_GrowthPortfolio_1QRank","2016-04-12_to_2018-04-13_GrowthPortfolio_1QRank","2016-05-12_to_2018-05-13_GrowthPortfolio_1QRank","2016-06-13_to_2018-06-13_GrowthPortfolio_1QRank","2016-07-12_to_2018-07-13_GrowthPortfolio_1QRank","2016-08-12_to_2018-08-13_GrowthPortfolio_1QRank","2016-09-12_to_2018-09-13_GrowthPortfolio_1QRank","2016-10-12_to_2018-10-13_GrowthPortfolio_1QRank","2016-11-14_to_2018-11-13_GrowthPortfolio_1QRank","2016-12-12_to_2018-12-13_GrowthPortfolio_1QRank","2017-01-12_to_2019-01-13_GrowthPortfolio_1QRank","2017-02-13_to_2019-02-13_GrowthPortfolio_1QRank","2017-03-13_to_2019-03-13_GrowthPortfolio_1QRank","2017-04-12_to_2019-04-13_GrowthPortfolio_1QRank","2017-05-12_to_2019-05-13_GrowthPortfolio_1QRank","2017-06-12_to_2019-06-13_GrowthPortfolio_1QRank","2017-07-12_to_2019-07-13_GrowthPortfolio_1QRank","2017-08-14_to_2019-08-13_GrowthPortfolio_1QRank","2017-09-12_to_2019-09-13_GrowthPortfolio_1QRank","2017-10-12_to_2019-10-13_GrowthPortfolio_1QRank","2017-11-13_to_2019-11-13_GrowthPortfolio_1QRank","2017-12-12_to_2019-12-13_GrowthPortfolio_1QRank","2018-01-12_to_2020-01-13_GrowthPortfolio_1QRank","2018-02-12_to_2020-02-13_GrowthPortfolio_1QRank","2018-03-12_to_2020-03-13_GrowthPortfolio_1QRank","2018-04-12_to_2020-04-13_GrowthPortfolio_1QRank","2018-05-14_to_2020-05-13_GrowthPortfolio_1QRank","2018-06-12_to_2020-06-13_GrowthPortfolio_1QRank","2018-07-12_to_2020-07-13_GrowthPortfolio_1QRank","2018-08-13_to_2020-08-13_GrowthPortfolio_1QRank","2018-09-12_to_2020-09-13_GrowthPortfolio_1QRank","2018-10-12_to_2020-10-13_GrowthPortfolio_1QRank","2018-11-12_to_2020-11-13_GrowthPortfolio_1QRank","2018-12-12_to_2020-12-13_GrowthPortfolio_1QRank","2019-01-14_to_2021-01-13_GrowthPortfolio_1QRank","2019-02-12_to_2021-02-13_GrowthPortfolio_1QRank","2019-03-12_to_2021-03-13_GrowthPortfolio_1QRank","2019-04-12_to_2021-04-13_GrowthPortfolio_1QRank","2019-05-13_to_2021-05-13_GrowthPortfolio_1QRank","2019-06-12_to_2021-06-13_GrowthPortfolio_1QRank","2019-07-12_to_2021-07-13_GrowthPortfolio_1QRank","2019-08-12_to_2021-08-13_GrowthPortfolio_1QRank","2019-09-12_to_2021-09-13_GrowthPortfolio_1QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","26.129","31.64","27.799","26.777","18.782","25.512","18.023","21.288","21.796","20.065","9.262","4.487","10.439","12.126","9.524","6.146","8.232","10.986","7.992","7.5","5.367","7.452","15.036","19.82","19.615","19.238","15.109","13.786","10.281","22.07","30.348","24.614","27.626","25.55","33.037","9.83","9.472","25.713","34.542","29.228","21.788","27.18","26.984","24.207","15.156","8.481","9.815","9.612","19.484","18.821","20.094","15.665","19.11","11.574","13.514","10.551","15.162","10.278","10.414","11.875","1.211","8.413","9.401","3.931","13.703","26.745","12.202","20.196","8.328","23.367","37.974","23.372","20.294","26.936","23.745","22.376","18.59","17.713","52.803"
"B Annualized Returns","13.601","13.058","12.153","12.529","10.838","10.136","6.883","7.949","6.943","7.582","2.15","1.912","4.38","6.73","3.949","3.722","4.135","6.046","3.346","6.104","2.937","6.461","6.02","5.644","7.789","6.126","7.027","7.969","7.948","8.498","13.363","12.331","11.669","14.235","19.423","18.704","16.67","12.909","14.487","15.139","13.98","13.73","15.972","13.978","12.52","8.721","6.952","8.504","8.54","11.103","8.46","9.13","11.277","8.808","9.833","8.157","9.938","9.417","9.222","13.426","0.389","3.995","4.109","6.695","8.963","11.594","10.064","14.85","16.469","19.492","23.319","22.255","20.354","21.449","22.351","23.243","22.776","26.833","25.24"
"AR DIFF(P-B)","12.528","18.582","15.646","14.248","7.944","15.376","11.14","13.339","14.853","12.483","7.112","2.575","6.059","5.396","5.575","2.424","4.097","4.94","4.646","1.396","2.43","0.991","9.016","14.176","11.826","13.112","8.082","5.817","2.333","13.572","16.985","12.283","15.957","11.315","13.614","-8.874","-7.198","12.804","20.055","14.089","7.808","13.45","11.012","10.229","2.636","-0.24","2.863","1.108","10.944","7.718","11.634","6.535","7.833","2.766","3.681","2.394","5.224","0.861000000000001","1.192","-1.551","0.822","4.418","5.292","-2.764","4.74","15.151","2.138","5.346","-8.141","3.875","14.655","1.117","-0.0599999999999987","5.487","1.394","-0.866999999999997","-4.186","-9.12","27.563"
"P Volatility","12.77","13.54","11.31","11.45","11.22","11.47","11.62","12.41","13.13","13.13","11.49","13.9","12.92","11.74","11.4","12.96","14.35","14.83","14.29","12.18","12","10.68","13.12","12.47","13.08","13.84","12.38","13.34","12.37","11.1","11.65","9.93","11.68","10.83","9.35","8.65","8.98","10.81","11.56","9.64","10.09","10.55","10.97","11.01","13.64","13.11","15.55","14.58","15.4","14.73","16.37","15.46","18.17","16.41","18.19","16.42","17.47","16.98","16.58","17.12","17.13","17.75","18.09","18.69","19.58","17.44","16.7","17.61","14.51","20.45","22.5","20.4","22.12","21.6","20.38","19.54","19.89","16.26","28.86"
"B Volatility","9.55","9.9","9.88","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","3.22","3.64","1.43","1.8","1.74","2.43","1.31","2.2","0.880000000000001","0.9","-0.34","1.67","0.67","-1.25","-1.54","0.0300000000000011","1.44","1.91","1.4","-0.69","-0.85","-2.29","0.659999999999998","0.59","1.12","1.89","0.430000000000001","1.55","0.649999999999999","0.48","1.48","2.23","4","3.3","3.24","2.04","2.11","3.1","3.83","1.88","2.56","2.77","3.06","3.37","4.13","3.65","3.64","2.04","2.79","2.07","3.46","1.35","3.4","1.64","3.3","1.55","2.61","1.97","1.93","2.9","1.71","0.390000000000001","-1.43","-0.959999999999997","0.0199999999999996","-2.31","-3.89","-2.64","-6.02","0.449999999999999","2.81","0.649999999999999","2.38","1.87","1.55","1","1.33","-2.09","10.49"
"P Tracking Error","8","11.94","8.67","7.47","6.81","8.46","9.35","8.08","8.49","7.11","7.59","8.78","8.31","7.45","5.75","4.14","6.65","5.57","6.74","4.3","5.88","6.64","5.96","5.61","6.84","6.61","5.29","5.78","5.3","6.75","6.74","6.21","7.36","6.66","7.79","7.93","6.03","6.32","6.9","5.85","5.23","6.42","5.7","6.39","6.49","6.72","6.3","6.72","7.43","7.26","8.23","4.59","6.49","4.89","8.4","6.65","6.97","4.38","3.48","5.4","5.21","4.67","5.1","5.37","5.52","6.76","6.7","7.02","9.75","8.65","8.75","5.37","6.9","5.13","5.26","6.9","6.33","6.03","14.89"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
