"","2013-06-11_to_2014-06-12_CorePortfolio_2QRank","2013-07-11_to_2014-07-12_CorePortfolio_2QRank","2013-08-12_to_2014-08-12_CorePortfolio_2QRank","2013-09-11_to_2014-09-12_CorePortfolio_2QRank","2013-10-11_to_2014-10-12_CorePortfolio_2QRank","2013-11-11_to_2014-11-12_CorePortfolio_2QRank","2013-12-11_to_2014-12-12_CorePortfolio_2QRank","2014-01-13_to_2015-01-12_CorePortfolio_2QRank","2014-02-11_to_2015-02-12_CorePortfolio_2QRank","2014-03-11_to_2015-03-12_CorePortfolio_2QRank","2014-04-11_to_2015-04-12_CorePortfolio_2QRank","2014-05-12_to_2015-05-12_CorePortfolio_2QRank","2014-06-11_to_2015-06-12_CorePortfolio_2QRank","2014-07-11_to_2015-07-12_CorePortfolio_2QRank","2014-08-11_to_2015-08-12_CorePortfolio_2QRank","2014-09-11_to_2015-09-12_CorePortfolio_2QRank","2014-10-13_to_2015-10-12_CorePortfolio_2QRank","2014-11-11_to_2015-11-12_CorePortfolio_2QRank","2014-12-11_to_2015-12-12_CorePortfolio_2QRank","2015-01-12_to_2016-01-12_CorePortfolio_2QRank","2015-02-11_to_2016-02-12_CorePortfolio_2QRank","2015-03-11_to_2016-03-12_CorePortfolio_2QRank","2015-04-13_to_2016-04-12_CorePortfolio_2QRank","2015-05-11_to_2016-05-12_CorePortfolio_2QRank","2015-06-11_to_2016-06-12_CorePortfolio_2QRank","2015-07-13_to_2016-07-12_CorePortfolio_2QRank","2015-08-11_to_2016-08-12_CorePortfolio_2QRank","2015-09-11_to_2016-09-12_CorePortfolio_2QRank","2015-10-12_to_2016-10-12_CorePortfolio_2QRank","2015-11-11_to_2016-11-12_CorePortfolio_2QRank","2015-12-11_to_2016-12-12_CorePortfolio_2QRank","2016-01-11_to_2017-01-12_CorePortfolio_2QRank","2016-02-11_to_2017-02-12_CorePortfolio_2QRank","2016-03-11_to_2017-03-12_CorePortfolio_2QRank","2016-04-11_to_2017-04-12_CorePortfolio_2QRank","2016-05-11_to_2017-05-12_CorePortfolio_2QRank","2016-06-13_to_2017-06-12_CorePortfolio_2QRank","2016-07-11_to_2017-07-12_CorePortfolio_2QRank","2016-08-11_to_2017-08-12_CorePortfolio_2QRank","2016-09-12_to_2017-09-12_CorePortfolio_2QRank","2016-10-11_to_2017-10-12_CorePortfolio_2QRank","2016-11-11_to_2017-11-12_CorePortfolio_2QRank","2016-12-12_to_2017-12-12_CorePortfolio_2QRank","2017-01-11_to_2018-01-12_CorePortfolio_2QRank","2017-02-13_to_2018-02-12_CorePortfolio_2QRank","2017-03-13_to_2018-03-12_CorePortfolio_2QRank","2017-04-11_to_2018-04-12_CorePortfolio_2QRank","2017-05-11_to_2018-05-12_CorePortfolio_2QRank","2017-06-12_to_2018-06-12_CorePortfolio_2QRank","2017-07-11_to_2018-07-12_CorePortfolio_2QRank","2017-08-11_to_2018-08-12_CorePortfolio_2QRank","2017-09-11_to_2018-09-12_CorePortfolio_2QRank","2017-10-11_to_2018-10-12_CorePortfolio_2QRank","2017-11-13_to_2018-11-12_CorePortfolio_2QRank","2017-12-11_to_2018-12-12_CorePortfolio_2QRank","2018-01-11_to_2019-01-12_CorePortfolio_2QRank","2018-02-12_to_2019-02-12_CorePortfolio_2QRank","2018-03-12_to_2019-03-12_CorePortfolio_2QRank","2018-04-11_to_2019-04-12_CorePortfolio_2QRank","2018-05-11_to_2019-05-12_CorePortfolio_2QRank","2018-06-11_to_2019-06-12_CorePortfolio_2QRank","2018-07-11_to_2019-07-12_CorePortfolio_2QRank","2018-08-13_to_2019-08-12_CorePortfolio_2QRank","2018-09-11_to_2019-09-12_CorePortfolio_2QRank","2018-10-11_to_2019-10-12_CorePortfolio_2QRank","2018-11-12_to_2019-11-12_CorePortfolio_2QRank","2018-12-11_to_2019-12-12_CorePortfolio_2QRank","2019-01-11_to_2020-01-12_CorePortfolio_2QRank","2019-02-11_to_2020-02-12_CorePortfolio_2QRank","2019-03-11_to_2020-03-12_CorePortfolio_2QRank","2019-04-11_to_2020-04-12_CorePortfolio_2QRank","2019-05-13_to_2020-05-12_CorePortfolio_2QRank","2019-06-11_to_2020-06-12_CorePortfolio_2QRank","2019-07-11_to_2020-07-12_CorePortfolio_2QRank","2019-08-12_to_2020-08-12_CorePortfolio_2QRank","2019-09-11_to_2020-09-12_CorePortfolio_2QRank","2019-10-11_to_2020-10-12_CorePortfolio_2QRank","2019-11-11_to_2020-11-12_CorePortfolio_2QRank","2019-12-11_to_2020-12-12_CorePortfolio_2QRank","2020-01-13_to_2021-01-12_CorePortfolio_2QRank","2020-02-11_to_2021-02-12_CorePortfolio_2QRank","2020-03-11_to_2021-03-12_CorePortfolio_2QRank","2020-04-13_to_2021-04-12_CorePortfolio_2QRank","2020-05-11_to_2021-05-12_CorePortfolio_2QRank","2020-06-11_to_2021-06-12_CorePortfolio_2QRank","2020-07-13_to_2021-07-12_CorePortfolio_2QRank","2020-08-11_to_2021-08-12_CorePortfolio_2QRank","2020-09-11_to_2021-09-12_CorePortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","21.302","16.903","15.281","21.716","13.85","18.739","15.272","15.076","17.209","14.437","18.194","11.857","10.944","7.428","12.734","0.197","12.414","9.698","1.64","-1.133","-4.706","0.768","3.419","2.778","2.885","7.016","9.762","15.176","4.929","6.334","11.326","20.2","27.86","18.608","11.579","15.497","15.194","12.055","13.372","20.388","22.953","21.889","20.528","27.702","16.646","19.498","14.768","14.586","12.087","11.82","12.415","11.352","5.41","4.354","0.378","-6.085","1.978","1.652","7.417","6.792","2.389","8.503","2.757","8.396","10.608","12.847","18.959","23.232","17.738","-14.775","-5.855","-5.227","1.91","-0.823","12.993","11.432","16.772","9.209","10.058","9.815","10.545","59.222","49.52","42.548","39.296","36.799","31.158","35.402"
"B Annualized Returns","17.419","16.075","13.652","17.4","12.657","14.605","11.808","10.7","14.273","10.223","14.176","9.817","7.842","4.877","6.944","-3.171","6.13","1.056","1.737","-3.354","-9.112","-1.152","0.085","-0.699","-0.185","2.781","5.357","11.251","7.074","4.854","10.217","19.062","22.829","17.728","13.362","15.377","16.5","13.142","11.795","15.356","18.473","19.011","18.453","22.843","14.558","16.496","12.811","13.515","14.286","14.752","16.101","15.992","9.655","6.221","-0.377","-6.238","2.548","0.434","9.421","6.265","3.818","7.906","1.75","4.107","8.357","13.785","20.114","27.293","25.882","-9.545","-0.156","6.385","9.237","11.702","20.732","16.362","24.645","17.969","18.874","17.452","19.157","59.051","48.75","39.199","40.151","37.392","31.066","34.933"
"AR DIFF(P-B)","3.883","0.827999999999999","1.629","4.316","1.193","4.134","3.464","4.376","2.936","4.214","4.018","2.04","3.102","2.551","5.79","3.368","6.284","8.642","-0.0970000000000002","2.221","4.406","1.92","3.334","3.477","3.07","4.235","4.405","3.925","-2.145","1.48","1.109","1.138","5.031","0.879999999999999","-1.783","0.119999999999999","-1.306","-1.087","1.577","5.032","4.48","2.878","2.075","4.859","2.088","3.002","1.957","1.071","-2.199","-2.932","-3.686","-4.64","-4.245","-1.867","0.755","0.153","-0.57","1.218","-2.004","0.527","-1.429","0.597","1.007","4.289","2.251","-0.938000000000001","-1.155","-4.061","-8.144","-5.23","-5.699","-11.612","-7.327","-12.525","-7.739","-4.93","-7.873","-8.76","-8.816","-7.637","-8.612","0.170999999999999","0.770000000000003","3.349","-0.855000000000004","-0.593000000000004","0.0920000000000023","0.469000000000001"
"P Volatility","10.67","10","9.47","9.33","8.73","7.88","8.66","7.92","8.69","9.83","9.37","9.88","9.3","8.37","8.15","10.9","10.92","13.93","14.11","14.1","13.58","13.63","16.23","16.32","16.07","15.57","13.2","12.98","11.31","10.95","10.63","7.48","8.43","6.02","6.94","6.35","6.37","5.44","5.77","4.69","4.33","4.02","4.24","3.68","5.81","7.94","9.21","9","9.24","9.2","10.22","9.6","8.81","11.35","12.07","13.98","15.24","14.37","14.3","14.15","16.97","17.82","18.85","18.63","16.91","17.53","13.33","12.11","12.75","15.64","21.34","23.67","21.72","21.96","21.8","23","23.42","25.17","25.25","25.24","23.26","16.5","14.95","15.9","14.35","15.15","13.81","14.7"
"B Volatility","10.01","9.31","8.17","8.4","7.94","7.69","7.72","5.1","7.66","9.3","10.03","9.98","9.95","10.22","9.92","11.95","12.2","16.25","16.28","15.44","15.03","14.87","16.31","16.27","16.17","15.97","14.72","14.05","9.77","9.91","9.97","7.97","7.54","6.17","6.23","6.24","6.13","5.52","5.45","5.31","4.26","4.15","4.26","4.26","5.57","7.98","9.55","9.57","9.69","9.64","10.14","10.45","10.43","13.04","13.05","14.8","16.46","16.07","16.16","16.5","18.45","19.34","19.05","19.19","17.59","17.68","13.46","12.35","12.4","16.18","19.14","22.22","21.51","21.59","21.81","23.12","24.24","24.62","26.36","26.41","23.89","18.93","15.87","16.09","16.35","16.07","14.33","12.08"
"V DIFF(P-B)","0.66","0.69","1.3","0.93","0.79","0.19","0.94","2.82","1.03","0.529999999999999","-0.66","-0.0999999999999996","-0.649999999999999","-1.85","-1.77","-1.05","-1.28","-2.32","-2.17","-1.34","-1.45","-1.24","-0.0799999999999983","0.0500000000000007","-0.100000000000001","-0.4","-1.52","-1.07","1.54","1.04","0.66","-0.489999999999999","0.89","-0.15","0.71","0.109999999999999","0.24","-0.0799999999999992","0.319999999999999","-0.619999999999999","0.0700000000000003","-0.130000000000001","-0.0199999999999996","-0.58","0.239999999999999","-0.04","-0.34","-0.57","-0.449999999999999","-0.440000000000001","0.0800000000000001","-0.85","-1.62","-1.69","-0.98","-0.82","-1.22","-1.7","-1.86","-2.35","-1.48","-1.52","-0.199999999999999","-0.560000000000002","-0.68","-0.149999999999999","-0.130000000000001","-0.24","0.35","-0.539999999999999","2.2","1.45","0.209999999999997","0.370000000000001","-0.00999999999999801","-0.120000000000001","-0.819999999999997","0.550000000000001","-1.11","-1.17","-0.629999999999999","-2.43","-0.92","-0.19","-2","-0.92","-0.52","2.62"
"P Tracking Error","2.72","2.15","3.41","3.47","2.97","2.89","3.07","3.6","3.11","3.76","3.66","2.83","2.85","3.94","3.35","2.73","3.68","4.27","3.99","3.46","4.05","3.31","3.19","2.7","2.63","2.38","4.05","3.41","3.59","2.2","2.63","2.71","3.05","2.12","2.16","2.57","2.15","1.62","1.19","1.66","1.68","2.17","1.76","1.65","1.76","1.2","1.69","2.09","2.6","2.27","2.57","3.36","2.49","2.8","2.41","3.38","3.84","3.24","3.75","4.15","4.59","4.87","3.66","3.12","3.13","2.65","2.69","2.73","3.15","1.83","3.68","3.8","3.37","4.44","2.96","3.39","4.72","6.51","5.49","5.61","5.98","6.18","6.19","7.68","6.98","7.8","6.54","7.84"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
