"","2017-12-12_to_2019-12-13_CorePortfolio_20QRank","2018-01-12_to_2020-01-13_CorePortfolio_20QRank","2018-02-12_to_2020-02-13_CorePortfolio_20QRank","2018-03-12_to_2020-03-13_CorePortfolio_20QRank","2018-04-12_to_2020-04-13_CorePortfolio_20QRank","2018-05-14_to_2020-05-13_CorePortfolio_20QRank","2018-06-12_to_2020-06-13_CorePortfolio_20QRank","2018-07-12_to_2020-07-13_CorePortfolio_20QRank","2018-08-13_to_2020-08-13_CorePortfolio_20QRank","2018-09-12_to_2020-09-13_CorePortfolio_20QRank","2018-10-12_to_2020-10-13_CorePortfolio_20QRank","2018-11-12_to_2020-11-13_CorePortfolio_20QRank","2018-12-12_to_2020-12-13_CorePortfolio_20QRank","2019-01-14_to_2021-01-13_CorePortfolio_20QRank","2019-02-12_to_2021-02-13_CorePortfolio_20QRank","2019-03-12_to_2021-03-13_CorePortfolio_20QRank","2019-04-12_to_2021-04-13_CorePortfolio_20QRank","2019-05-13_to_2021-05-13_CorePortfolio_20QRank","2019-06-12_to_2021-06-13_CorePortfolio_20QRank","2019-07-12_to_2021-07-13_CorePortfolio_20QRank","2019-08-12_to_2021-08-13_CorePortfolio_20QRank","2019-09-12_to_2021-09-13_CorePortfolio_20QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","6.339","5.575","9.366","-4.305","-0.521","-0.474","1.855","2.266","5.277","7.712","13.143","8.114","11.679","16.889","23.062","23.134","24.376","26.882","28.547","25.961","22.425","18.531"
"B Annualized Returns","9.417","9.222","13.426","0.389","3.995","4.109","6.695","8.963","11.594","10.064","14.85","16.469","19.492","23.319","22.255","20.354","21.449","22.351","23.243","22.776","26.833","25.24"
"AR DIFF(P-B)","-3.078","-3.647","-4.06","-4.694","-4.516","-4.583","-4.84","-6.697","-6.317","-2.352","-1.707","-8.355","-7.813","-6.43","0.807000000000002","2.78","2.927","4.531","5.304","3.185","-4.408","-6.709"
"P Volatility","14.56","14.15","13.42","15.47","17.19","18.59","18.91","18.47","18.49","20.16","20.73","18.82","19.14","18.55","21.7","21.98","22.41","22.21","22.17","21.65","17.95","18.03"
"B Volatility","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-0.449999999999999","-0.5","-0.800000000000001","0.0500000000000007","-0.169999999999998","-0.93","-0.739999999999998","-1.09","-1.26","-0.43","0.48","-1.71","-0.859999999999999","-1.14","1.95","2.24","2.68","3.38","3.63","3.09","-0.400000000000002","-0.34"
"P Tracking Error","3.32","3.27","3.57","3.86","4.12","4.27","4.55","4.51","4.57","4.45","4.43","5.32","4.74","4.85","5.24","5.41","5.8","6.67","6.69","6.41","6.44","6.2"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio","-0.93","-1.12","-1.14","-1.22","-1.1","-1.07","-1.06","-1.48","-1.38","-0.53","-0.39","-1.57","-1.65","-1.33","0.15","0.51","0.5","0.68","0.79","0.5","-0.68","-1.08"
"B Information Ratio","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat","-0.2","-0.2","-0.19","-0.37","-0.36","-0.3","-0.26","-0.54","-0.45","-0.16","-0.19","-0.62","-0.5","-0.39","-0.01","0.09","0.19","0.14","0.26","0.06","-0.21","-0.31"
"B Alpha Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat","0.95","0.94","0.91","0.97","0.96","0.93","0.94","0.92","0.91","0.96","1","0.89","0.93","0.91","1.07","1.08","1.1","1.13","1.15","1.12","0.92","0.92"
"B Beta Stat","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared","94.86","94.77","93.48","93.55","94.14","95.03","94.4","94.52","94.54","95.11","95.21","93.24","94.13","93.71","94.31","94.22","93.84","91.87","92.1","91.93","87.27","88.23"
"B R-Squared","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown","-18.4466","-18.729","-17.1011","-27.2961","-33.8705","-34.0378","-34.1225","-33.8801","-33.4","-34.0497","-34.6828","-34.2015","-34.4092","-33.4676","-34.4437","-34.5122","-34.756","-34.7507","-35.1346","-35.0279","-33.9671","-33.7593"
