"","2013-12-11_to_2015-12-12_GrowthPortfolio_4QRank","2014-01-13_to_2016-01-12_GrowthPortfolio_4QRank","2014-02-11_to_2016-02-12_GrowthPortfolio_4QRank","2014-03-11_to_2016-03-12_GrowthPortfolio_4QRank","2014-04-11_to_2016-04-12_GrowthPortfolio_4QRank","2014-05-12_to_2016-05-12_GrowthPortfolio_4QRank","2014-06-11_to_2016-06-12_GrowthPortfolio_4QRank","2014-07-11_to_2016-07-12_GrowthPortfolio_4QRank","2014-08-11_to_2016-08-12_GrowthPortfolio_4QRank","2014-09-11_to_2016-09-12_GrowthPortfolio_4QRank","2014-10-13_to_2016-10-12_GrowthPortfolio_4QRank","2014-11-11_to_2016-11-12_GrowthPortfolio_4QRank","2014-12-11_to_2016-12-12_GrowthPortfolio_4QRank","2015-01-12_to_2017-01-12_GrowthPortfolio_4QRank","2015-02-11_to_2017-02-12_GrowthPortfolio_4QRank","2015-03-11_to_2017-03-12_GrowthPortfolio_4QRank","2015-04-13_to_2017-04-12_GrowthPortfolio_4QRank","2015-05-11_to_2017-05-12_GrowthPortfolio_4QRank","2015-06-11_to_2017-06-12_GrowthPortfolio_4QRank","2015-07-13_to_2017-07-12_GrowthPortfolio_4QRank","2015-08-11_to_2017-08-12_GrowthPortfolio_4QRank","2015-09-11_to_2017-09-12_GrowthPortfolio_4QRank","2015-10-12_to_2017-10-12_GrowthPortfolio_4QRank","2015-11-11_to_2017-11-12_GrowthPortfolio_4QRank","2015-12-11_to_2017-12-12_GrowthPortfolio_4QRank","2016-01-11_to_2018-01-12_GrowthPortfolio_4QRank","2016-02-11_to_2018-02-12_GrowthPortfolio_4QRank","2016-03-11_to_2018-03-12_GrowthPortfolio_4QRank","2016-04-11_to_2018-04-12_GrowthPortfolio_4QRank","2016-05-11_to_2018-05-12_GrowthPortfolio_4QRank","2016-06-13_to_2018-06-12_GrowthPortfolio_4QRank","2016-07-11_to_2018-07-12_GrowthPortfolio_4QRank","2016-08-11_to_2018-08-12_GrowthPortfolio_4QRank","2016-09-12_to_2018-09-12_GrowthPortfolio_4QRank","2016-10-11_to_2018-10-12_GrowthPortfolio_4QRank","2016-11-11_to_2018-11-12_GrowthPortfolio_4QRank","2016-12-12_to_2018-12-12_GrowthPortfolio_4QRank","2017-01-11_to_2019-01-12_GrowthPortfolio_4QRank","2017-02-13_to_2019-02-12_GrowthPortfolio_4QRank","2017-03-13_to_2019-03-12_GrowthPortfolio_4QRank","2017-04-11_to_2019-04-12_GrowthPortfolio_4QRank","2017-05-11_to_2019-05-12_GrowthPortfolio_4QRank","2017-06-12_to_2019-06-12_GrowthPortfolio_4QRank","2017-07-11_to_2019-07-12_GrowthPortfolio_4QRank","2017-08-11_to_2019-08-12_GrowthPortfolio_4QRank","2017-09-11_to_2019-09-12_GrowthPortfolio_4QRank","2017-10-11_to_2019-10-12_GrowthPortfolio_4QRank","2017-11-13_to_2019-11-12_GrowthPortfolio_4QRank","2017-12-11_to_2019-12-12_GrowthPortfolio_4QRank","2018-01-11_to_2020-01-12_GrowthPortfolio_4QRank","2018-02-12_to_2020-02-12_GrowthPortfolio_4QRank","2018-03-12_to_2020-03-12_GrowthPortfolio_4QRank","2018-04-11_to_2020-04-12_GrowthPortfolio_4QRank","2018-05-11_to_2020-05-12_GrowthPortfolio_4QRank","2018-06-11_to_2020-06-12_GrowthPortfolio_4QRank","2018-07-11_to_2020-07-12_GrowthPortfolio_4QRank","2018-08-13_to_2020-08-12_GrowthPortfolio_4QRank","2018-09-11_to_2020-09-12_GrowthPortfolio_4QRank","2018-10-11_to_2020-10-12_GrowthPortfolio_4QRank","2018-11-12_to_2020-11-12_GrowthPortfolio_4QRank","2018-12-11_to_2020-12-12_GrowthPortfolio_4QRank","2019-01-11_to_2021-01-12_GrowthPortfolio_4QRank","2019-02-11_to_2021-02-12_GrowthPortfolio_4QRank","2019-03-11_to_2021-03-12_GrowthPortfolio_4QRank","2019-04-11_to_2021-04-12_GrowthPortfolio_4QRank","2019-05-13_to_2021-05-12_GrowthPortfolio_4QRank","2019-06-11_to_2021-06-12_GrowthPortfolio_4QRank","2019-07-11_to_2021-07-12_GrowthPortfolio_4QRank","2019-08-12_to_2021-08-12_GrowthPortfolio_4QRank","2019-09-11_to_2021-09-12_GrowthPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","17.531","17.165","6.014","11.833","18.112","13.049","15.227","10.823","16.59","7.584","11.694","5.86","13.064","7.586","17.787","15.292","9.158","11.417","7.95","8.813","9.934","14.69","27.924","29.564","28.102","33.142","39.492","32.644","30.369","29.184","27.788","20.948","22.088","20.741","22.659","13.877","7.221","5.281","16.208","14.625","19.717","16.292","15.405","16.504","11.545","13.163","7.092","14.893","17.864","14.365","18.781","1.347","9.715","6.144","11.234","16.723","17.104","18.381","26.685","21.915","21.798","24.254","20.948","18.432","23.338","22.09","21.552","21.711","19.665","24.051"
"B Annualized Returns","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","10.228","13.74","4.163","7.454","11.481","8.63","11.496","6.398","10.607","3.784","5.403","2.951","7.92","1.642","11.938","6.806","2.641","4.566","0.584000000000001","0.976000000000001","1.37","1.421","15.631","18.647","14.671","13.254","20.597","15.654","16.747","14.697","12.402","6.703","8.163","5.067","8.666","1.476","-1.41","-1.557","7.829","6.469","8.766","6.457","6.479","4.872","3.105","3.064","-0.868","4.95","8.301","5.14","5.163","5.678","5.058","1.169","4.494","6.588","5.394","8.316","10.605","6.07","2.032","1.629","-2.098","-2.056","1.828","0.399000000000001","-1.502","-1.406","-7.082","-1.345"
"P Volatility","13.24","13.57","14.62","13.05","14.34","13.76","14.73","14.54","14.97","13.9","12.73","11.57","11.91","11.19","12.32","13.22","11.29","12.12","12.17","11.41","9.01","8.52","10.18","11.25","10.58","9.99","11.66","10.82","11.57","10.76","10.43","10.18","9.6","10.32","10.66","11.77","11.64","14.22","17.67","18.45","18.1","17.6","19.45","19.22","18.35","18.27","17.92","17.28","17.23","16.65","16.26","16.46","18.24","20.72","20.71","20.93","20.26","24.53","20.11","18.62","17.9","15.98","16.82","15.59","16.94","15.28","14.56","15.99","16.32","15.6"
"B Volatility","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","1.01","1.74","2.39","0.800000000000001","1.35","0.82","1.8","1.63","2.05","1.01","-0.139999999999999","-1.28","-1.06","-1.27","0.44","1.26","-0.66","0.17","0.380000000000001","-0.31","-1.61","-1.65","2.48","3.57","3.05","3.88","5.05","3.95","3.86","3.03","2.67","2.65","1.82","2.41","3.02","2.26","2.18","2.31","5.13","5.84","5.44","4.69","5.34","4.45","3.58","3.38","3.05","2.42","2.22","2","2.04","1.04","0.879999999999999","1.2","1.06","1.37","0.510000000000002","3.94","-0.140000000000001","-1.91","-2.1","-3.71","-2.93","-4.15","-2.79","-3.55","-3.98","-2.57","-2.03","-2.77"
"P Tracking Error","9.41","9.81","9.94","8.43","7.45","7.98","8.12","7.94","7.48","6.8","6.73","6.32","6.16","5.67","6.7","6.44","5.61","6.28","4.24","4.85","5.34","4.86","7.12","7.43","6.9","8.5","9.33","8.33","8.51","7.35","6.77","7","6.59","7.58","7.75","4.82","4.58","4.62","7.96","8.78","8.65","8.18","8.65","7.98","7.27","6.8","6.31","7.41","7.55","6.57","5.87","6.72","5.32","5.31","6.44","5.95","6","7.53","5.44","6.19","6.01","7.13","5.93","7.46","6.45","7.34","7.29","6.69","6.68","6.16"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
