"","2013-12-11_to_2015-12-12_VGPortfolio_4QRank","2014-01-13_to_2016-01-12_VGPortfolio_4QRank","2014-02-11_to_2016-02-12_VGPortfolio_4QRank","2014-03-11_to_2016-03-12_VGPortfolio_4QRank","2014-04-11_to_2016-04-12_VGPortfolio_4QRank","2014-05-12_to_2016-05-12_VGPortfolio_4QRank","2014-06-11_to_2016-06-12_VGPortfolio_4QRank","2014-07-11_to_2016-07-12_VGPortfolio_4QRank","2014-08-11_to_2016-08-12_VGPortfolio_4QRank","2014-09-11_to_2016-09-12_VGPortfolio_4QRank","2014-10-13_to_2016-10-12_VGPortfolio_4QRank","2014-11-11_to_2016-11-12_VGPortfolio_4QRank","2014-12-11_to_2016-12-12_VGPortfolio_4QRank","2015-01-12_to_2017-01-12_VGPortfolio_4QRank","2015-02-11_to_2017-02-12_VGPortfolio_4QRank","2015-03-11_to_2017-03-12_VGPortfolio_4QRank","2015-04-13_to_2017-04-12_VGPortfolio_4QRank","2015-05-11_to_2017-05-12_VGPortfolio_4QRank","2015-06-11_to_2017-06-12_VGPortfolio_4QRank","2015-07-13_to_2017-07-12_VGPortfolio_4QRank","2015-08-11_to_2017-08-12_VGPortfolio_4QRank","2015-09-11_to_2017-09-12_VGPortfolio_4QRank","2015-10-12_to_2017-10-12_VGPortfolio_4QRank","2015-11-11_to_2017-11-12_VGPortfolio_4QRank","2015-12-11_to_2017-12-12_VGPortfolio_4QRank","2016-01-11_to_2018-01-12_VGPortfolio_4QRank","2016-02-11_to_2018-02-12_VGPortfolio_4QRank","2016-03-11_to_2018-03-12_VGPortfolio_4QRank","2016-04-11_to_2018-04-12_VGPortfolio_4QRank","2016-05-11_to_2018-05-12_VGPortfolio_4QRank","2016-06-13_to_2018-06-12_VGPortfolio_4QRank","2016-07-11_to_2018-07-12_VGPortfolio_4QRank","2016-08-11_to_2018-08-12_VGPortfolio_4QRank","2016-09-12_to_2018-09-12_VGPortfolio_4QRank","2016-10-11_to_2018-10-12_VGPortfolio_4QRank","2016-11-11_to_2018-11-12_VGPortfolio_4QRank","2016-12-12_to_2018-12-12_VGPortfolio_4QRank","2017-01-11_to_2019-01-12_VGPortfolio_4QRank","2017-02-13_to_2019-02-12_VGPortfolio_4QRank","2017-03-13_to_2019-03-12_VGPortfolio_4QRank","2017-04-11_to_2019-04-12_VGPortfolio_4QRank","2017-05-11_to_2019-05-12_VGPortfolio_4QRank","2017-06-12_to_2019-06-12_VGPortfolio_4QRank","2017-07-11_to_2019-07-12_VGPortfolio_4QRank","2017-08-11_to_2019-08-12_VGPortfolio_4QRank","2017-09-11_to_2019-09-12_VGPortfolio_4QRank","2017-10-11_to_2019-10-12_VGPortfolio_4QRank","2017-11-13_to_2019-11-12_VGPortfolio_4QRank","2017-12-11_to_2019-12-12_VGPortfolio_4QRank","2018-01-11_to_2020-01-12_VGPortfolio_4QRank","2018-02-12_to_2020-02-12_VGPortfolio_4QRank","2018-03-12_to_2020-03-12_VGPortfolio_4QRank","2018-04-11_to_2020-04-12_VGPortfolio_4QRank","2018-05-11_to_2020-05-12_VGPortfolio_4QRank","2018-06-11_to_2020-06-12_VGPortfolio_4QRank","2018-07-11_to_2020-07-12_VGPortfolio_4QRank","2018-08-13_to_2020-08-12_VGPortfolio_4QRank","2018-09-11_to_2020-09-12_VGPortfolio_4QRank","2018-10-11_to_2020-10-12_VGPortfolio_4QRank","2018-11-12_to_2020-11-12_VGPortfolio_4QRank","2018-12-11_to_2020-12-12_VGPortfolio_4QRank","2019-01-11_to_2021-01-12_VGPortfolio_4QRank","2019-02-11_to_2021-02-12_VGPortfolio_4QRank","2019-03-11_to_2021-03-12_VGPortfolio_4QRank","2019-04-11_to_2021-04-12_VGPortfolio_4QRank","2019-05-13_to_2021-05-12_VGPortfolio_4QRank","2019-06-11_to_2021-06-12_VGPortfolio_4QRank","2019-07-11_to_2021-07-12_VGPortfolio_4QRank","2019-08-12_to_2021-08-12_VGPortfolio_4QRank","2019-09-11_to_2021-09-12_VGPortfolio_4QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","11.868","10.246","4.664","8.225","12.562","9.96","11.072","8.183","11.376","5.729","10.3","5.168","13.767","11.569","13.769","12.239","7.126","6.679","7.121","7.535","8.326","13.458","20.106","21.104","24.155","30.233","37.46","28.89","26.379","25.084","24.623","19.153","21.241","18.626","20.604","13.51","10.586","6.497","9.472","9.416","12.513","9.043","8.747","9.887","7.546","9.397","5.418","8.711","11.072","8.686","12.7","-4.394","4.414","6.316","9.708","7.828","10.242","16.263","24.409","17.517","18.293","21.675","20.178","18.804","32.509","33.675","36.411","33.718","37.623","22.064"
"B Annualized Returns","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","4.565","6.821","2.813","3.846","5.931","5.541","7.341","3.758","5.393","1.929","4.009","2.259","8.623","5.625","7.92","3.753","0.609","-0.172","-0.244999999999999","-0.302","-0.238","0.189","7.813","10.187","10.724","10.345","18.565","11.9","12.757","10.597","9.237","4.908","7.316","2.952","6.611","1.109","1.955","-0.341","1.093","1.26","1.562","-0.792000000000002","-0.179","-1.745","-0.893999999999999","-0.702","-2.542","-1.232","1.509","-0.539","-0.918000000000001","-0.0629999999999997","-0.243","1.341","2.968","-2.307","-1.468","6.198","8.329","1.672","-1.473","-0.949999999999999","-2.868","-1.684","10.999","11.984","13.357","10.601","10.876","-3.332"
"P Volatility","10.25","10.04","9.83","9.39","11.1","10.91","11.91","11.96","12.11","12.14","12.76","11.82","12.41","12.48","13.24","12.94","10.92","10.3","10.94","10.95","9.64","9.13","8.9","9.05","9.1","7.13","8.81","8.4","9.84","9.51","9.25","8.31","8.78","8.33","8.68","9.44","9.54","12.25","13.21","13.49","14.13","14.1","15.37","15.16","15.47","14.94","15.1","15.33","15.03","14.24","13.01","14.18","16.43","17.81","18.01","18.96","19.23","23.85","23.5","21.5","21.63","19.47","20.56","18.92","23.02","21.94","22.59","21.94","22","16.56"
"B Volatility","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","-1.98","-1.79","-2.4","-2.86","-1.89","-2.03","-1.02","-0.949999999999999","-0.81","-0.75","-0.109999999999999","-1.03","-0.56","0.0199999999999996","1.36","0.979999999999999","-1.03","-1.65","-0.85","-0.770000000000001","-0.979999999999999","-1.04","1.2","1.37","1.57","1.02","2.2","1.53","2.13","1.78","1.49","0.78","0.999999999999999","0.42","1.04","-0.0700000000000003","0.0799999999999983","0.34","0.670000000000002","0.880000000000001","1.47","1.19","1.26","0.390000000000001","0.700000000000001","0.0499999999999989","0.23","0.470000000000001","0.0199999999999996","-0.41","-1.21","-1.24","-0.93","-1.71","-1.64","-0.599999999999998","-0.52","3.26","3.25","0.969999999999999","1.63","-0.220000000000002","0.809999999999999","-0.819999999999997","3.29","3.11","4.05","3.38","3.65","-1.81"
"P Tracking Error","6","5.83","5.76","5.48","5.05","5.58","4.82","4.8","4.8","4.47","4.07","4.61","3.98","3.29","4.75","4.62","3","4.25","2.94","3.1","3.77","3.73","3.81","3.86","3.65","3.9","4.79","4.05","4.84","4.24","3.56","2.98","4.56","3.08","4.2","1.87","2.08","2.72","3.07","3.59","3.95","3.82","3.91","3.39","2.77","2.75","2.74","3.31","3.38","2.94","3.11","3.32","2.64","3.54","3.77","3.41","3.84","5.82","5.93","4","4.28","2.99","4.35","4.66","6.83","7.93","8.47","8.11","7.8","5.16"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
