"","2013-06-11_to_2015-06-12_CorePortfolio_2QRank","2013-07-11_to_2015-07-12_CorePortfolio_2QRank","2013-08-12_to_2015-08-12_CorePortfolio_2QRank","2013-09-11_to_2015-09-12_CorePortfolio_2QRank","2013-10-11_to_2015-10-12_CorePortfolio_2QRank","2013-11-11_to_2015-11-12_CorePortfolio_2QRank","2013-12-11_to_2015-12-12_CorePortfolio_2QRank","2014-01-13_to_2016-01-12_CorePortfolio_2QRank","2014-02-11_to_2016-02-12_CorePortfolio_2QRank","2014-03-11_to_2016-03-12_CorePortfolio_2QRank","2014-04-11_to_2016-04-12_CorePortfolio_2QRank","2014-05-12_to_2016-05-12_CorePortfolio_2QRank","2014-06-11_to_2016-06-12_CorePortfolio_2QRank","2014-07-11_to_2016-07-12_CorePortfolio_2QRank","2014-08-11_to_2016-08-12_CorePortfolio_2QRank","2014-09-11_to_2016-09-12_CorePortfolio_2QRank","2014-10-13_to_2016-10-12_CorePortfolio_2QRank","2014-11-11_to_2016-11-12_CorePortfolio_2QRank","2014-12-11_to_2016-12-12_CorePortfolio_2QRank","2015-01-12_to_2017-01-12_CorePortfolio_2QRank","2015-02-11_to_2017-02-12_CorePortfolio_2QRank","2015-03-11_to_2017-03-12_CorePortfolio_2QRank","2015-04-13_to_2017-04-12_CorePortfolio_2QRank","2015-05-11_to_2017-05-12_CorePortfolio_2QRank","2015-06-11_to_2017-06-12_CorePortfolio_2QRank","2015-07-13_to_2017-07-12_CorePortfolio_2QRank","2015-08-11_to_2017-08-12_CorePortfolio_2QRank","2015-09-11_to_2017-09-12_CorePortfolio_2QRank","2015-10-12_to_2017-10-12_CorePortfolio_2QRank","2015-11-11_to_2017-11-12_CorePortfolio_2QRank","2015-12-11_to_2017-12-12_CorePortfolio_2QRank","2016-01-11_to_2018-01-12_CorePortfolio_2QRank","2016-02-11_to_2018-02-12_CorePortfolio_2QRank","2016-03-11_to_2018-03-12_CorePortfolio_2QRank","2016-04-11_to_2018-04-12_CorePortfolio_2QRank","2016-05-11_to_2018-05-12_CorePortfolio_2QRank","2016-06-13_to_2018-06-12_CorePortfolio_2QRank","2016-07-11_to_2018-07-12_CorePortfolio_2QRank","2016-08-11_to_2018-08-12_CorePortfolio_2QRank","2016-09-12_to_2018-09-12_CorePortfolio_2QRank","2016-10-11_to_2018-10-12_CorePortfolio_2QRank","2016-11-11_to_2018-11-12_CorePortfolio_2QRank","2016-12-12_to_2018-12-12_CorePortfolio_2QRank","2017-01-11_to_2019-01-12_CorePortfolio_2QRank","2017-02-13_to_2019-02-12_CorePortfolio_2QRank","2017-03-13_to_2019-03-12_CorePortfolio_2QRank","2017-04-11_to_2019-04-12_CorePortfolio_2QRank","2017-05-11_to_2019-05-12_CorePortfolio_2QRank","2017-06-12_to_2019-06-12_CorePortfolio_2QRank","2017-07-11_to_2019-07-12_CorePortfolio_2QRank","2017-08-11_to_2019-08-12_CorePortfolio_2QRank","2017-09-11_to_2019-09-12_CorePortfolio_2QRank","2017-10-11_to_2019-10-12_CorePortfolio_2QRank","2017-11-13_to_2019-11-12_CorePortfolio_2QRank","2017-12-11_to_2019-12-12_CorePortfolio_2QRank","2018-01-11_to_2020-01-12_CorePortfolio_2QRank","2018-02-12_to_2020-02-12_CorePortfolio_2QRank","2018-03-12_to_2020-03-12_CorePortfolio_2QRank","2018-04-11_to_2020-04-12_CorePortfolio_2QRank","2018-05-11_to_2020-05-12_CorePortfolio_2QRank","2018-06-11_to_2020-06-12_CorePortfolio_2QRank","2018-07-11_to_2020-07-12_CorePortfolio_2QRank","2018-08-13_to_2020-08-12_CorePortfolio_2QRank","2018-09-11_to_2020-09-12_CorePortfolio_2QRank","2018-10-11_to_2020-10-12_CorePortfolio_2QRank","2018-11-12_to_2020-11-12_CorePortfolio_2QRank","2018-12-11_to_2020-12-12_CorePortfolio_2QRank","2019-01-11_to_2021-01-12_CorePortfolio_2QRank","2019-02-11_to_2021-02-12_CorePortfolio_2QRank","2019-03-11_to_2021-03-12_CorePortfolio_2QRank","2019-04-11_to_2021-04-12_CorePortfolio_2QRank","2019-05-13_to_2021-05-12_CorePortfolio_2QRank","2019-06-11_to_2021-06-12_CorePortfolio_2QRank","2019-07-11_to_2021-07-12_CorePortfolio_2QRank","2019-08-12_to_2021-08-12_CorePortfolio_2QRank","2019-09-11_to_2021-09-12_CorePortfolio_2QRank"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns","16.943","14.355","15.356","11.956","12.625","10.399","7.952","5.653","3.061","6.804","9.689","6.777","6.005","6.974","9.451","7.154","9.235","10.221","9.09","10.434","13.651","11.7","9.994","11.767","12.983","14.556","14.4","19.423","12.357","11.875","14.958","19.46","22.758","20.733","13.432","16.767","16.539","13.803","14.879","18.36","15.844","14.969","11.347","11.282","11.925","11.287","12.901","10.594","8.749","11.584","7.476","8.828","7.12","8.169","9.047","7.73","9.088","-6.028","0.558","3.196","2.005","5.849","8.163","6.666","11.316","16.577","21.556","17.802","23.188","22.247","25.402","17.479","21.011","20.141","25.123","24.399"
"B Annualized Returns","12.076","10.342","10.247","6.736","8.481","7.483","7.303","3.425","1.851","4.379","6.631","4.419","3.731","4.425","5.983","3.8","6.291","2.909","5.144","5.944","5.849","8.486","6.517","6.851","7.366","7.837","8.564","13.269","12.293","10.917","13.431","19.888","18.895","16.99","13.622","14.487","15.386","14.245","13.925","15.674","13.993","12.401","8.631","6.838","8.379","8.156","10.951","9.835","8.926","11.632","8.44","10.099","7.96","9.943","9.563","9.225","13.618","-4.331","4.657","4.975","6.74","10.135","11.71","10.065","16.08","15.845","19.766","22.625","23.046","20.488","21.51","21.691","23.054","23.117","26.747","25.396"
"AR DIFF(P-B)","4.867","4.013","5.109","5.22","4.144","2.916","0.649","2.228","1.21","2.425","3.058","2.358","2.274","2.549","3.468","3.354","2.944","7.312","3.946","4.49","7.802","3.214","3.477","4.916","5.617","6.719","5.836","6.154","0.0640000000000001","0.958","1.527","-0.428000000000001","3.863","3.743","-0.19","2.28","1.153","-0.441999999999998","0.953999999999999","2.686","1.851","2.568","2.716","4.444","3.546","3.131","1.95","0.758999999999999","-0.177","-0.048","-0.964","-1.271","-0.84","-1.774","-0.516","-1.495","-4.53","-1.697","-4.099","-1.779","-4.735","-4.286","-3.547","-3.399","-4.764","0.732000000000001","1.79","-4.823","0.141999999999999","1.759","3.892","-4.212","-2.043","-2.976","-1.624","-0.997"
"P Volatility","9.83","10.06","9.8","11.2","10.54","11.87","11.93","11.52","12.08","11.87","12.59","12.58","12.61","11.17","11.28","11.49","11.29","11.96","12.13","12.33","11.26","11.29","12","12.32","12.39","12.04","10.05","9.76","9.04","8.51","7.95","6.02","7.32","7.61","8","8.19","8.07","7.66","8.29","7.69","7.54","9.76","9.08","11.35","12.19","12.65","12.2","12.07","13.36","14.17","14.33","13.96","13.47","14.07","14.14","14.18","13.24","14.23","17.23","18.75","19.56","20.14","20.31","19.84","18.99","21.87","22.31","19.91","21.94","22.66","23.84","19.59","18.24","18.8","17.91","17.89"
"B Volatility","9.65","9.48","9.04","10.31","10.21","12.25","12.23","11.83","12.23","12.25","12.99","12.94","12.93","12.91","12.92","12.89","12.87","12.85","12.97","12.46","11.88","11.96","11.95","11.95","11.79","11.72","10.62","10.17","7.7","7.68","7.53","6.11","6.61","6.87","7.71","7.73","7.76","7.53","7.78","7.91","7.64","9.51","9.46","11.91","12.54","12.61","12.66","12.91","14.11","14.77","14.77","14.89","14.87","14.86","15.01","14.65","14.22","15.42","17.36","19.52","19.65","19.56","19.75","20.59","20.25","20.53","20","19.69","19.75","19.74","19.73","18.83","18.54","18.56","18.35","18.37"
"V DIFF(P-B)","0.18","0.58","0.760000000000002","0.889999999999999","0.329999999999998","-0.380000000000001","-0.300000000000001","-0.31","-0.15","-0.380000000000001","-0.4","-0.359999999999999","-0.32","-1.74","-1.64","-1.4","-1.58","-0.889999999999999","-0.84","-0.130000000000001","-0.620000000000001","-0.670000000000002","0.0500000000000007","0.370000000000001","0.600000000000001","0.319999999999999","-0.569999999999999","-0.41","1.34","0.83","0.42","-0.0900000000000007","0.71","0.74","0.29","0.459999999999999","0.31","0.13","0.509999999999999","-0.22","-0.0999999999999996","0.25","-0.380000000000001","-0.56","-0.35","0.0400000000000009","-0.460000000000001","-0.84","-0.75","-0.6","-0.44","-0.93","-1.4","-0.789999999999999","-0.869999999999999","-0.470000000000001","-0.98","-1.19","-0.129999999999999","-0.77","-0.0899999999999999","0.580000000000002","0.559999999999999","-0.75","-1.26","1.34","2.31","0.219999999999999","2.19","2.92","4.11","0.760000000000002","-0.300000000000001","0.240000000000002","-0.440000000000001","-0.48"
"P Tracking Error","3.37","3.61","3.25","3.37","3.29","2.94","2.88","3.59","2.87","3.27","3.59","2.62","2.38","3.54","3.32","2.86","3.64","3.28","2.93","2.85","3.04","2.68","2.76","2.78","3.57","3.08","3.57","3.08","2.95","1.91","2.11","2.29","2.39","2.31","1.92","2.15","1.9","1.66","1.62","2.17","1.92","2.13","2.05","2.33","2.73","2.87","2.84","3.34","3.35","3.35","3.71","3.77","2.94","2.78","2.54","2.73","3.3","3.44","3.58","3.66","3.88","4.5","3.73","4.56","5.3","3.46","4.47","4.44","5.03","5.14","6.01","5.28","4.62","6.08","5.04","5.01"
"B Tracking Error","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
