"","3 Y 2016-10-24 to 2019-10-25","3 Y 2016-11-24 to 2019-11-25","3 Y 2016-12-26 to 2019-12-25","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.958,9.72,9.686,9.107,14.398,7.347,8.885,5.655,12.455,6.824,13.431,9.942,11.315,8.968,4.5,9.055,20.617,21.183,13.493,15.913,33.656,21.025,21.726,30.658,55.821,43.332,43.996,59.136,33.845,32.939,40.97
"B Annualized Returns",9.064,13.68,15.048,12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",1.894,-3.96,-5.362,-2.96,5.294,13.001,9.372,7.129,10.463,3.854,9.424,7.811,7.248,2.454,-3.122,0.574999999999999,9.191,9.219,3.678,3.274,20.422,8.617,9.758,13.292,35.03,25.595,27.566,43.001,19.672,18.07,26.385
"P Volatility",18.81,13.11,14.03,14.8,14.55,18.07,18.6,23.67,23.43,21.69,23.31,21.83,23.66,21.78,22.53,24.19,23.65,23.9,21.9,23.51,28.3,25.33,25.2,25.96,31.86,28.04,30.5,31.39,28.37,25.18,27.52
"B Volatility",13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",5.64,0.27,1.32,2.47,2.32,5.66,-1.35,2.66,2.43,0.400000000000002,1.63,0.149999999999999,2.24,0.310000000000002,0.18,1.52,1.22,1.1,-0.940000000000001,0.670000000000002,5.42,2.72,2.62,3.53,9.75,5.97,8.18,9.12,6.13,2.58,4.6
"P Tracking Error",12.88,8.03,8.39,7.98,8.39,11.64,8.96,7.84,7.95,8.67,11.76,10.14,8.22,8.99,9.9,9.84,9.49,8.91,9.86,10.23,13.1,11.41,9.74,11.01,20.76,16.53,19.27,21.27,16.64,10.57,13.32
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
