"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",58.624,50.864,23.258,14.874,10.442,27.383,25.695,26.047,33.145,33.773,37.174,34.075,28.163,21.426,17.184,16.521,13.122,17.642,9.516,0.877,12.783,10.551,17.89,23.66,20.939,16.645,25.804,30.777,38.374,30.368,26.75,25.465,23.5,19.398,20.501,19.601,19.168,19.8,26.124,20.776,18.73,6.785,8.487,19.702,1.792,2.231,-0.549,-7.064,-5.397
"B Annualized Returns",6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",52.074,45.003,21.315,13.848,13.584,26.286,23.777,23.178,29.655,31.26,31.56,29.576,22.91,18.725,15.138,13.354,10.415,12.629,5.882,6.396,14.384,10.93,19.021,23.715,19.543,15.627,23.474,23.883,28.275,23.685,20.649,18.02,16.071,8.393,9.651,6.785,6.407,8.894,12.928,9.123,6.02,-3.994,-6.161,-7.311,-17.998,-14.573,-11.347,-16.822,-13.07
"P Volatility",20.51,29.11,24.25,18.43,19.83,19.39,23.78,25.78,28.4,32.32,32.54,29.49,31.62,29.66,26.03,24.9,21.46,21.17,21.22,25.19,33.98,33.29,33.65,34.01,30.69,32.32,29.11,29.88,28.95,28.19,25.43,25.19,25.64,24.06,26.7,27.6,26.69,18.38,27.35,26.69,25.32,28.01,25.23,21.75,16.78,17,14.85,14.52,18.82
"B Volatility",6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",14.51,22.95,16.21,10.41,10.43,9.99,12.14,14.13,16.6,20.33,20.56,17.51,19.8,17.94,14.31,12.87,9.5,9.42,9.02,7.31,15.07,14.2,14.63,14.99,11.28,13.59,10.23,10.64,10.26,9.97,7.08,6.51,7.45,5.81,8.03,9.34,8.44,0.0399999999999991,8.77,8.02,6.65,9.7,13.78,10.3,5.9,5.88,2.43,2.1,6.56
"P Tracking Error",21,29.62,22.72,17.48,18.22,17.91,18.65,20.39,22.63,25.9,25.49,22.77,24.96,23.07,19.45,17.92,14.11,13.16,13.14,13.13,18.76,19.04,18.31,18.6,15.88,17.99,14.88,15,15.28,15.12,12.07,11.95,12.85,11.1,12.77,13.63,21.75,12.59,21.4,21.97,20.36,21.12,20.13,16.27,12.52,13.61,13.22,12.62,12.16
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",2.48,1.52,0.94,0.79,0.75,1.47,1.27,1.14,1.31,1.21,1.24,1.3,0.92,0.81,0.78,0.75,0.74,0.96,0.45,0.49,0.77,0.57,1.04,1.27,1.23,0.87,1.58,1.59,1.85,1.57,1.71,1.51,1.25,0.76,0.76,0.5,0.29,0.71,0.6,0.42,0.3,-0.19,-0.31,-0.45,-1.44,-1.07,-0.86,-1.33,-1.07
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.91,3.54,1.98,1.51,0.99,1.46,1.79,1.95,2.02,2.38,2.15,2.02,1.75,1.21,1.29,0.69,0.73,0.27,0.33,0.84,1.21,1.5,2.1,2.23,2.01,1.46,1.85,1.74,1.56,1.52,1.57,1.54,1.03,0.63,0.49,0.38,1.24,1.15,1,1.05,0.78,-0.13,-1.23,-1.12,-1.09,-1.17,-0.99,-1.02,-1.42
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.22,0.11,1.06,0.77,0.85,0.81,1.3,1.42,1.56,1.8,1.92,1.72,1.85,1.77,1.59,1.53,1.41,1.5,1.43,1.22,1.62,1.52,1.6,1.62,1.42,1.53,1.38,1.4,1.37,1.35,1.24,1.21,1.24,1.18,1.29,1.36,0.86,0.77,0.92,0.83,0.83,1,1.38,1.29,1.03,0.92,0.65,0.67,1.19
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",-4.33,-4.71,8.06,6.89,12.07,11.47,37.84,38.12,39.09,41.97,47.8,46.64,45.19,46.26,48.89,52.73,60.28,67.48,66.31,74.16,80.61,75.19,81.09,81.25,79.18,77.35,78.96,80.63,76.61,75.31,79.61,78.82,76.85,79.75,80.27,80.52,31.4,56.53,36.17,30.5,34.03,40.45,36.47,43.87,41.73,33.08,26,29.34,57.81
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
