"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.436,4.452,5.892,5.212,2.508,4.665,5.681,9.339,8.205,5.947,4.708,8.489,6.02,8.664,13.574,12.873,6.991,11.914,9.896,2.582,13.716,10.584,9.696,16.817,35.852,35.362,23.621,23.02,7.018,4.285,7.628,13.576,16.185,25.633,13.897,19.772,22.74,19.503,18.851,16.195,16.931,21.984,33.429,89.08,64.05,58.264,37.771,35.618,37.675
"B Annualized Returns",6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",-1.114,-1.409,3.949,4.186,5.65,3.568,3.763,6.47,4.715,3.434,-0.906,3.99,0.766999999999999,5.963,11.528,9.706,4.284,6.901,6.262,8.101,15.317,10.963,10.827,16.872,34.456,34.344,21.291,16.126,-3.081,-2.398,1.527,6.131,8.756,14.628,3.047,6.956,9.979,8.597,5.655,4.542,4.221,11.205,18.781,62.067,44.26,41.46,26.973,25.86,30.002
"P Volatility",9.69,10.03,8.61,9.49,11.59,12.93,12.77,13.57,14.11,13.28,12.4,14.95,13.52,15.33,15.53,13.26,13.25,11.4,10.54,14.28,19.36,15.6,14.55,14.81,24.9,24.73,25.53,27.62,28.97,24.66,22.97,23.26,25.71,30.31,32.57,38.05,42.86,40.54,40.87,34.76,33.71,32.86,21.91,30.6,25.33,26.57,30.61,30.25,26.97
"B Volatility",6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",3.69,3.87,0.57,1.47,2.19,3.53,1.13,1.92,2.31,1.29,0.42,2.97,1.7,3.61,3.81,1.23,1.29,-0.35,-1.66,-3.6,0.449999999999999,-3.49,-4.47,-4.21,5.49,6,6.65,8.38,10.28,6.44,4.62,4.58,7.52,12.06,13.9,19.79,24.61,22.2,22.29,16.09,15.04,14.55,10.46,19.15,14.45,15.45,18.19,17.83,14.71
"P Tracking Error",7.26,7.81,7.24,8.42,8.72,9.67,8.63,9.69,10.73,10.12,9.35,15.95,10,16.69,16.38,14.34,14.66,13.38,12.04,9.77,13.32,9.78,10.02,13.68,23.34,22.58,19.46,21.74,13.61,9.26,7.63,8.45,11.92,16.17,18.45,25.28,29.64,27.13,27.08,21.68,20.52,19.5,16.55,24.41,20.56,21.84,22.97,23.21,21.03
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
