"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.966,8.27,12.78,14.584,16.778,18.377,16.395,20.426,16.628,15.13,12.394,12.038,12.12,9.872,12.49,10.482,0.126,11.054,10.462,11.093,16.593,21.689,20.662,19.807,20.871,21.475,17.437,16.144,16.926,17.034,20.738,16.092,18.398,20.192,16.583,17.25,17.989,16.192,15.839,20.314,52.409,30.802,30.69,19.005,15.854,16.172
"B Annualized Returns",1.873,-2.671,1.097,1.845,2.808,3.49,3.151,5.602,4.499,5.085,2.701,2.046,3.169,2.707,5.111,3.634,-5.519,-1.692,-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",9.093,10.941,11.683,12.739,13.97,14.887,13.244,14.824,12.129,10.045,9.693,9.992,8.951,7.165,7.379,6.848,5.645,12.746,11.373,12.224,16.648,19.517,19.644,18.034,13.977,11.376,10.82,10.043,9.481,9.377,9.155,5.242,7.026,7.431,6.056,4.249,6.336,3.482,3.861,5.666,25.396,11.674,13.886,7.233,6.272,8.499
"P Volatility",9.69,11.66,11.35,15.05,15.84,17.08,17.83,18.35,16.59,17.66,17.07,14.65,14.47,12.16,12.06,12.91,18.76,19.14,21.5,22.91,23.1,23.62,23.47,24.9,25.22,22.15,22.45,22.43,23.51,23.15,23.85,25.35,24.51,25.15,22.07,26.09,24.7,24,25.81,18.28,18.59,12.7,13.81,13.02,16.33,16.06
"B Volatility",8.02,9.4,9.4,11.64,11.65,11.8,11.8,11.98,11.98,11.98,11.72,11.72,12.03,11.96,11.96,12.2,17.88,18.1,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",1.67,2.26,1.95,3.41,4.19,5.28,6.03,6.37,4.61,5.68,5.35,2.93,2.44,0.199999999999999,0.0999999999999996,0.710000000000001,0.880000000000003,1.04,2.41,3.89,4.08,4.21,4.74,6.02,5.98,3.46,4.23,4.08,4.83,4.96,5.6,6.68,6.23,6.9,3.47,7.51,6.03,5.33,7.5,6.83,7.14,1.82,2.69,1.9,3.91,3.8
"P Tracking Error",8.08,8.67,8.2,8.71,9.01,10.32,11.21,11.25,9.74,10.3,10.03,8.94,8.15,8.01,7.94,7.86,7.28,7.46,8.07,8.31,9.6,12.66,12.15,12.03,13.19,7.86,9.36,10.83,10.64,10.99,9.63,8.89,8.99,10.66,6.67,10.02,8.79,9.86,11.05,10.4,10.83,6.01,6.81,6.32,7.8,7.39
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.13,1.26,1.42,1.46,1.55,1.44,1.18,1.32,1.25,0.98,0.97,1.12,1.1,0.89,0.93,0.87,0.78,1.71,1.41,1.47,1.73,1.54,1.62,1.5,1.06,1.45,1.16,0.93,0.89,0.85,0.95,0.59,0.78,0.7,0.91,0.42,0.72,0.35,0.35,0.54,2.34,1.94,2.04,1.14,0.8,1.15
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.92,0.91,0.65,0.98,1.11,1.01,1.1,1.06,0.91,0.86,0.67,0.78,0.57,0.71,0.69,0.43,0.37,0.49,0.98,1.27,1.39,1.72,1.52,1.4,1.04,0.79,0.72,0.7,0.72,0.63,0.58,0.41,0.36,0.5,0.39,0.04,0.24,0.14,0.36,0.14,0.78,0.67,0.91,0.74,0.61,0.52
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.72,0.84,0.85,1.06,1.13,1.17,1.19,1.23,1.13,1.22,1.2,0.99,0.99,0.79,0.79,0.85,0.97,0.97,1.05,1.13,1.11,1.03,1.07,1.17,1.12,1.11,1.13,1.07,1.13,1.13,1.21,1.31,1.28,1.28,1.14,1.34,1.26,1.19,1.31,1.36,1.37,1.03,1.08,1.02,1.17,1.18
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",32.67,43.7,46.96,65.15,67,63.13,60.23,63.08,64.78,66.61,65.74,60.96,66.77,58.88,59.21,63.23,84.34,84.11,85.41,87.43,82.76,69.95,72.3,77.24,72.27,87.73,82.9,75.95,79.63,77.44,85.75,92.49,90.42,85.47,91.88,90.74,90.91,84.55,85.93,71.5,69.9,76.62,75.03,75.33,77.77,79.68
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.936,-16.5071,-14.9966,-14.7144,-15.4657,-17.1147,-17.3182,-18.2887,-16.3019,-17.3891,-15.9407,-13.2018,-14.596,-14.2424,-14.0929,-15.2647,-32.8559,-31.5014,-30.0862,-31.5322,-31.3675,-29.375,-29.9522,-31.6845,-31.9106,-31.4105,-32.1067,-30.0271,-31.5163,-30.8352,-34.2604,-36.3985,-35.6983,-36.7109,-33.976,-37.5921,-36.2739,-34.3498,-37.7385,-32.4708,-7.5634,-7.5957,-10.8533,-15.0776,-18.0465,-18.9408
"B Max Drawdown",-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-2.0731,-3.0625,-1.552,-1.2698,-2.0211,-3.6701,-3.8736,-4.8441,-2.8573,-3.9445,-2.4961,0.242899999999999,-1.1514,-0.797800000000001,-0.648300000000001,-1.8201,2.8706,4.2251,5.6403,4.1943,4.359,6.3515,5.7743,4.042,3.8159,4.316,3.61980000000001,5.6994,4.2102,4.8913,1.4661,-0.671999999999997,0.0281999999999982,-0.984400000000001,1.7505,-1.8656,-0.547399999999996,1.3767,-2.012,-1.1182,0.204400000000001,0.1721,-0.5852,-0.2829,-1.2626,-2.1569
